Number;Number_extra;Count;Year;Editor;Image_src;Pages;Size;Link;Notes;Title;Alternate_numbering
3;;;2017;Nikkonen, Raimo;;100;B5;;Kansi: Kari T. Leppänen;;
4;;;2017;Nikkonen, Raimo;;100;B5;;Kansi: Kari T. Leppänen;;
1;;;2018;Nikkonen, Raimo;;100;B5;;Kansi: Kari T. Leppänen;;
2;;;2018;Nikkonen, Raimo;;108;B5;;Kansi: Kari T. Leppänen;;
3;;;2018;Nikkonen, Raimo;;116;B5;;Kansi: Marko Keränen;;
4;;;2018;Nikkonen, Raimo;;100;B5;;Kansi: Marko Keränen;;
1;;;2019;Nikkonen, Raimo;;116;B5;;Kansi: Kari T. Leppänen;;
2;;;2019;Nikkonen, Raimo;;;B5;;;;
3;;;2019;Nikkonen, Raimo;;116;B5;;Kansi: Kari T. Leppänen;;
4;;;2019;Nikkonen, Raimo;;116;B5;;Kansi: Kari T. Leppänen;;
1;;;2020;Nikkonen, Raimo;;132;B5;;Kansi: Kari T. Leppänen;;
2;;;2020;Nikkonen, Raimo;;124;B5;;Kansi: Kari T. Leppänen;;
3;;;2020;Nikkonen, Raimo;;124;B5;;Kansi: Kari T. Leppänen;;
4;;;2020;Nikkonen, Raimo;;124;B5;;Kansi: Kari T. Leppänen;;
1;;;2021;Nikkonen, Raimo;;116;B5;;Kansi: Kari T. Leppänen;;
