Lehti;Number;Number_extra;Count;Year;Tekijä;Artikkeli;Aihe;Viitteet
Aikakone;4;;;1989;Peltonen, Leena & Sinisalo, Johanna;Camelot 3000;Sarjakuvat, Kuningas Arthur, Mike W. Barr, Brian Bolland;
Aikakone;4;;;1992;Lehtinen, Vesa;Concrete - kivimiehen muotokuva;Sarjakuvat;
Aikakone;3;Vol.2 No.3;;1983;Murtosaari, Jukka;Enki Bilal Suomessa!;Sarjakuvat, Enki Bilal;
Aikakone;3;Vol.4 No.3;;1985;Ijäs, Jyrki;Moebius oli täällä;Sarjakuvat, Moebius, Jean Giraud;
Aikakone;3;;;1991;Manninen, Pekka A.;OM (eli kuinka yhdistetään Sergei Eisenstein ja fantasia);Sarjakuvat, Sami Toivonen, Timo Varpio;
Aikakone;3;;;1988;Raittila, Timo & Manninen, Pekka A.;Teräslegioona - The Legion of Super-Heroes: Nuorisokerhosta kosmiseksi Hill Street bluesiksi;Sarjakuvat, Supersankarit;
Aikakone;2;;;1991;Lehtinen, Vesa;Tuomion partio eli epätavallisia supersankareita;Sarjakuvat, Supersankarit, Doom Patrol;
Aikakone;3;;;1988;Sinisalo, Johanna;Watchmen - kuinka supersankareista tuli aikuisia;Sarjakuvat, Supersankarit, Alan Moore, Dave Gibbons;
Aikakone;2;Vol.3 No.2;;1984;Backman, Juha;1000 x maailmanloppu - ydinsota tieteiskirjallisuudessa;Science Fiction, Sota;
Aikakone;1;;;1989;Savolainen, Matti;Eikö kukaan tahdo hard corea?;Science Fiction, Hard Core;
Aikakone;4;Vol.2 No.4;;1983;Enqvist, Kari & Pietäinen, Hannu;Evoluutio, tieteiskirjallisuuden sokea pilkku?;Science Fiction;
Aikakone;2;Vol.2 No.2;;1983;Keskinen, Raimo;Fysiikka ja tieteiskirjallisuus;Science Fiction;
Aikakone;3;Vol.3 No.3;;1984;Virtanen, Pekka;Galaktinen yhteiskieli;Science Fiction;
Aikakone;4;;;1990;Sinisalo, Johanna;Gastronomica Galactica - ei ainoastaan leivästä;Science Fiction, Ruoka;
Aikakone;3;;;1995;Manninen, Pekka A. & Pietilä, Timo & Savolainen, Matti & Törmänen, Terhi;Hullut tiedemiehet;Aikacon, Science Fiction;
Aikakone;2;;;1992;Langford, David;Ilo irti järjettömästä väkivallasta!;Science Fiction;Langford, David
Aikakone;3;;;1995;Hinkkanen, Juhani;Kautta Jupiterin!;Science Fiction;
Aikakone;3;;;1988;Elo, Eija;Kissa ulkoavaruudessa;Science Fiction, Kissat;
Aikakone;4;;;1991;Hinkkanen, Juhani;Kun kuolema korjasi kirjailijan;Dekkarit;
Aikakone;4;Vol.3 No.4;;1984;Elo, Eija;LeGuin sanoi sen kauniimmin - Science fiction kirjallisuutena;Science Fiction;
Aikakone;2;Vol.4 No.2;;1985;Sinisalo, Johanna;Maailmanloppu tulee - oletko valmis?;Science Fiction;
Aikakone;1;;;1993;Hinkkanen, Juhani;Merkurius - tarinoita yksipuoliselta planeetalta;Science Fiction;
Aikakone;1;;;1987;Aldiss, Brian W. & Lundwall, Sam J.;Miten tieteiskirjallisuus sai alkunsa;Science Fiction, Finncon 1986;
Aikakone;3;Vol.2 No.3;;1983;Rekunen, Veikko;Ne näyttävät ihmisiltä mutta...;Science Fiction;
Aikakone;4;;;1990;Peltonen, Leena;Näin galaksi keittää;Science Fiction, Ruoka;
Aikakone;2;;;1993;Sinisalo, Johanna;Paluu Marsiin;Science Fiction;
Aikakone;2;;;1987;Sinisalo, Johanna;Peiliä pelkäävä ihminen - pohdintoja suhteestamme muukalaiseen;Science Fiction;
Aikakone;1;;;1990;Anonyymi;Planetaario on paikka myös science fictionille;Science Fiction;Sinisalo, Johanna
Aikakone;1;;;1992;Hinkkanen, Juhani;Pluto on planeetoista kylmin;Science Fiction;
Aikakone;1;;;1990;Hinkkanen, Juhani;Punainen planeetta tieteiskirjallisuudessa;Science Fiction, Mars;
Aikakone;4;;;1991;Peltonen, Leena;Rikos ja rangaistus science fictionissa;Science Fiction;
Aikakone;3;;;1991;Sarkkinen, Eija;Science fiction koulussa;Science Fiction;
Aikakone;4;;;1988;Brunner, John;Science fictionia ja vielä suurempaa hulluutta;Science Fiction;
Aikakone;4;;;1988;Elo, Eija;Scifi ja työsuojelu;Science Fiction;
Aikakone;1;;;1992;Elo, Eija;Syntymäpaikka ja -aika ja miten kiinnostuitte scifistä?;Science Fiction, Kirjoittaminen;
Aikakone;4;;;1990;Hinkkanen, Juhani;They'd Rather Be Right - Hugo voittaja vuodelta 1955;Science Fiction, Mark Clifton, Frank Riley;
Aikakone;1;Vol.4 No.1;;1985;Markkanen, Olavi;Tieteiskirjallisuuden henkiset juuret;Science Fiction;
Aikakone;2;Vol.4 No.2;;1985;Pilhjerta, Ritva-Liisa;Tieteiskirjallisuuden hyvät ja huonot;Science Fiction;
Aikakone;3;;;1995;Koponen, Jari;Tieteiskirjallisuuden kotimaiset akateemiset opinnäytetyöt;Science Fiction;
Aikakone;2;Vol.1 No.3;;1982;Enqvist, Kari;Tieteiskirjallisuuden tie tähtiin;Science Fiction;
Aikakone;1;;;1991;Hinkkanen, Juhani;Tieteiskirjallisuuden Venus - ennen todellisuutta ja jälkeen;Science Fiction;
Aikakone;4;;;1991;Tikkala, Heikki;Tieteiskirjallisuus ja myytit;Science Fiction;
Aikakone;2;;;1992;Hinkkanen, Juhani;Tähtien kuninkaat ja galaktiset imperiumit eli avaruusoopperaa traditionaalisesti;Science Fiction;
Aikakone;3;Vol.4 No.3;;1985;Rekunen, Veikko;Universumin nauru;Science Fiction, Huumori;
Aikakone;4;;;1988;Hinkkanen, Juhani & Ari Tervonen;Vaaditko tieteiskirjallisuudelta tieteellistä pätevyyttä?;Science Fiction;
Aikakone;3;;;1995;Hinkkanen, Juhani;Villi Pohjola;Science Fiction, Aikacon;Johanna Sinisalo, Ian Watson, Urmas Alas, Risto Isomäki, Olav Tirkkonen
Aikakone;2;;;1993;Kasvi, Jyrki J.J.;Megazone - lasersotaa pasifisteille;Sekalaista, Pelit;
Aikakone;3;;;1991;Rekunen, Veikko;Aikakone - siitä alkoi urani;Lehdet, Aikakone;
Aikakone;3;;;1991;Hinkkanen, Juhani;Aikakoneen kronologia;Lehdet, Aikakone;
Aikakone;3;;;1991;Ijäs, Jyrki;Hikeä, verta ja kyyneleitä eli kymmenen vuotta Aikakoneessa;Lehdet, Aikakone;
Aikakone;3;;;1991;Peltonen, Leena;Kun se parasta on ollut...;Lehdet, Aikakone;
Aikakone;3;;;1991;Hinkkanen, Juhani;Olin kaksi vuotta Aikakoneen päätoimittajana ja jäin henkiin!;Lehdet, Aikakone;
Aikakone;3;;;1991;Koponen, Jari;Ranskalainen visiitti;Lehdet, Aikakone;
Aikakone;1;Vol.3 No.1;;1984;Hinkkanen, Juhani;Sf-lehdistö Suomessa;Lehdet;
Aikakone;2;Vol.3 No.2;;1984;Hinkkanen, Juhani;Sf-lehdistö Suomessa;Lehdet;
Aikakone;1;Vol.4 No.1;;1985;Hinkkanen, Juhani;Sf-lehdistö Suomessa vuonna 1984;Lehdet;
Aikakone;1;;;1986;Hinkkanen, Juhani;Sf-lehdistö Suomessa vuonna 1985;Lehdet;
Aikakone;1;;;1987;Oikarinen, Antti;Sf-lehdistö Suomessa vuonna 1986;Lehdet;
Aikakone;3;;;1991;Linnaluoto, Seppo;Ursa Aikakoneen kustantajana;Lehdet, Aikakone;
Aikakone;4;;;1989;Markkula, Pekka;Robert Sheckley - mielikuvituksella varustettu pragmaatikko;;Robert Sheckley
Aikakone;2;;;1990;Peltonen, Leena;Heijastuksia Shepardin silmissä;;Lucius Shepard
Aikakone;2;Vol.4 No.2;;1985;Koponen, Jari;Kirjoittajaprofiili;;Johanna Sinisalo
Aikakone;1;Vol.1 No.2;;1982;Markkanen, Olavi;Olaf Stapledon - mies joka loi maailmankaikkeuden;;Olaf Stapledon
Aikakone;2;Vol.1 No.3;;1982;Ijäs, Jyrki;70 vuotta suomalaista tieteiskirjallisuutta;Science Fiction, Suomi;
Aikakone;4;Vol.2 No.4;;1983;Koponen, Jari;Kun isoisä Marsiin lensi - 1800-luvun suomalaista tieteiskirjallisuutta;Science Fiction, Suomi;Tyko Hagman, Viktor Pettersson
Aikakone;1;Vol.2 No.1;;1983;Koponen, Jari;Suomalaisen utopia- ja tieteiskirjallisuuden arvosteleva bibliografia - 1. osa 1906-1926;Science Fiction, Suomi;
Aikakone;2;Vol.2 No.2;;1983;Koponen, Jari;Suomalaisen utopia- ja tieteiskirjallisuuden arvosteleva bibliografia - 2. osa 1927-1944;Science Fiction, Suomi;
Aikakone;3;Vol.2 No.3;;1983;Koponen, Jari;Suomalaisen utopia- ja tieteiskirjallisuuden arvosteleva bibliografia - 3. osa 1945-1947;Science Fiction, Suomi;
Aikakone;4;Vol.2 No.4;;1983;Koponen, Jari;Suomalaisen utopia- ja tieteiskirjallisuuden arvosteleva bibliografia - 4. osa 1948-1951;Science Fiction, Suomi;
Aikakone;1;Vol.3 No.1;;1984;Koponen, Jari;Suomalaisen utopia- ja tieteiskirjallisuuden arvosteleva bibliografia - 5. osa 1952-1958;Science Fiction, Suomi;
Aikakone;2;Vol.3 No.2;;1984;Koponen, Jari;Suomalaisen utopia- ja tieteiskirjallisuuden arvosteleva bibliografia - 5. osa 1959-1965;Science Fiction, Suomi;
Aikakone;1;1-2/1994-95;;1995;Hinkkanen, Juhani;Väinämöinen ja Mignonmunat avaruudessa eli Suomi ja tieteiskirjallisuus;Science Fiction, Suomi, Aikacon;
