Lehti;Number;Number_extra;Count;Year;Tekijä;Novelli;Alkup-novelli;Alkup-vuosi;Suomentaja;runo;raapale;filk
Tähtivaeltaja;3;;;2007;Duncan, Hal;Viimeinen vuoro;The Last Shift;2005;Polvinen, Merja;;;
Tähtivaeltaja;4;;;1997;Egan, Greg;Soveliasta rakkautta;Appropriate Love;1991;Ronni, Tapani;;;
Tähtivaeltaja;2;;;1992;Elgin, Suzette Haden;Oi katso kuinka tammi iäti kukkivi;Lo, How an Oak E'er Blooming;1986;Sinkkonen, Marja;;;
Tähtivaeltaja;4;;;1993;Ellison, Harlan;"""Häpeä, Harlekiini!"" sanoi Tiktak-mies";"""Repent, Harlequin!"" Said the Ticktockman";1966;Sipilä, Seppo;;;
Tähtivaeltaja;4;;;1993;Ellison, Harlan;Lasimurskaa;Broken Glass;1981;Pakkala, Pekka & Tirkkonen, Olav;;;
Tähtivaeltaja;4;;;2019;El-Mohtar, Amal;Vuodenajat lasia ja rautaa;Seasons of Glass and Iron;2016;Ranta, Kaisa;;;
Tähtivaeltaja;4;;;2003;Ford, Jeffrey;Hunajainen solmu;The Honeyed Knot;2001;Leikomaa, Marianne;;;
Tähtivaeltaja;2;;;1998;Gaiman, Neil;Eräs elämä, varhaisen Moorcockin sävyissä;One Life, Furnished in Early Moorcock;1994;Sinkkonen, Marja;;;
Tähtivaeltaja;1;;;2004;Gaiman, Neil;Lokakuu tuolissa;October in the Chair;2002;Vainikainen-Uusitalo, Johanna;;;
Tähtivaeltaja;1;;;1999;Gaiman, Neil;Lumesta, lasista ja omenoista;Snow, Glass, Apples;1994;Vainikainen, Johanna;;;
Tähtivaeltaja;4;;;1993;Gaiman, Neil;Murhamysteerit;Murder Mysteries;1992;Drews, Kristiina;;;
Tähtivaeltaja;3;;;2004;Gaiman, Neil;Sulkemisaika;Closing Time;2002;Vainikainen-Uusitalo, Johanna;;;
Tähtivaeltaja;3;;;1990;Gallagher, Stephen;Voimanlähde;Driving Force;1989;Ronni, Tapani;;;
Tähtivaeltaja;3;;;1988;Gibson, William;New Rose Hotellissa;New Rose Hotel;1981;Jaeger, Eeva;;;
Tähtivaeltaja;4;;;2008;Grimwood, Jon Courtenay;Repeämän enkeli;The Crack Angel;2008;Jerrman, Toni;;;
Tähtivaeltaja;2;;;2008;Hand, Elizabeth;Ekho;Echo;2005;Parpola, Inka;;;
Tähtivaeltaja;4;;;1989;Harland, Paul & Teng, Tais;Lohikäärmeen kiusaaminen kielletty;Gelieve de draak niet te plagen;1988;Jerrman, Toni;;;
Tähtivaeltaja;2;;;2005;Harrison, M. John;Neonsydänmurhat;The Neon Heart Murders;2000;Drews, Kristiina;;;
Tähtivaeltaja;2;;;2011;Hopkinson, Nalo;Haamu (pallosalama);Ganger (Ball Lightning);2000;Silvonen, Sarianna;;;
Tähtivaeltaja;3;;;2002;Hopkinson, Nalo;Perso penska paljoon pakahtuu;Greedy Choke Puppy;2000;Tenhunen, Eeva-Liisa;;;
Tähtivaeltaja;2;;;2017;Hopkinson, Nalo;Vanhasta tottumuksesta;Old Habits;2011;Drews, Kristiina;;;
Tähtivaeltaja;4;;;1991;Howard, Robert E.;Rautapaholainen;Devil in Iron;1934;Peltonen, Leena;;;
Tähtivaeltaja;3;;;2018;Hurley, Kameron;Vääristymiä;Warped Passages;2017;Silvonen, Sarianna;;;
Tähtivaeltaja;2;;;2019;Hutchinson, Dave;Cockfostersin pysäkki poissa käytöstä;You Can't Get Off at Cockfosters;2004;Koski, Satu;;;
Tähtivaeltaja;1;;;1995;Ings, Simon;Hotwire (ote kirjasta);Hotwire;1995;Keynäs, Ville;;;
Tähtivaeltaja;4;;;1995;Ings, Simon;Liikenne;Traffic;1993;Keynäs, Ville;;;
Tähtivaeltaja;3;;;2019;Jansen, Mike;Valovuosien tanssi;In the Dance of Light Years;2019;Mäkelä, J. Pekka;;;
Tähtivaeltaja;3;;;2001;Koja, Kathe;Sovitus näkymättömille äänille;Arrangement for Invisible Voices;1992;Vainikainen-Uusitalo, Johanna;;;
Tähtivaeltaja;2;;;2010;Kushner, Ellen;Kuumaa vettä: Romanttinen kertomus Rajakaupungista;Hot Water - A Bordertown Romance;1998;Vainikainen-Uusitalo, Johanna;;;
Tähtivaeltaja;1;;;2002;Langford, David;Kuulolaite;Hearing Aid;1982;Kanto, Kari;;;
Tähtivaeltaja;1;;;1994;Lansdale, Joe R.;Bob-dinosaurus käy Disneylandissa;Bob the Dinosaur Goes to Disneyland;1989;Jerrman, Toni;;;
Tähtivaeltaja;1;;;1994;Lansdale, Joe R.;Läski ja elefantti;The Fat Man and the Elephant;1989;Kumpulainen, Minna;;;
Tähtivaeltaja;2;;;2017;Lawrence, Mark;Pahan siemen;Bad Seed;2014;Harju, Markus;;;
Tähtivaeltaja;2;;;2002;Le Guin, Ursula K.;Seggrin kysymys;The Matter of Seggri;1994;Drews, Kristiina;;;
Tähtivaeltaja;4;;;1989;Le Guin, Ursula K.;Semleyn kaulakoru;The Dowry of the Angyar;1964;Ronni, Tapani;;;
Tähtivaeltaja;3;;;2004;Lethem, Jonathan;Ovelta kuuluva koputus keskeyttää vastustajaansa pohtivan Dystopistin;The Dystopianist, Thinking of His Rival, Is Interrupted by a Knock on the Door;2002;Parpola, Inka;;;
Tähtivaeltaja;2;;;2009;Ligotti, Thomas;Nethescurial;Nethescurial;1991;Blommila, Hannu;;;
Tähtivaeltaja;4;;;2005;Link, Kelly;Suunnitelmia zombieiden varalle;Some Zombie Contingency Plans;2005;Jerrman, Toni;;;
Tähtivaeltaja;3;;;2017;Liu, Ken;Valikoima eräiden lajien kirjantekotavoista;The Bookmaking Habits of Select Species;2012;Silvonen, Sarianna;;;
Tähtivaeltaja;3;;;2014;Lord, Karen;Neuvosvaris;The Counsellor Crow;2011;Silvonen, Sarianna;;;
Tähtivaeltaja;1;;;1989;Lovecraft, H.P.;Tuolta puolen ;From Beyond;1938;Jerrman, Toni;;;
Tähtivaeltaja;1;;;2018;Machen, Arthur;Psykologia;Psychology;1897;Silvonen, Sarianna;;;
Tähtivaeltaja;3;;;2003;Martin, George R.R.;Ristin ja lohikäärmeen tie;The Way of Cross and Dragon;1979;Hlinovsky, Satu;;;
Tähtivaeltaja;3;;;1994;McDonald, Ian;Atomic Avenue;Atomic Avenue;1990;Ronni, Tapani;;;
Tähtivaeltaja;2;;;1997;McDonald, Ian;Saapuu sateentekijä;Rainmaker Cometh;1989;Peltonen, Leena;;;
Tähtivaeltaja;4;;;2008;McDonald, Ian;Sanjeev ja Robohemmo;Sanjeev and Robotwallah;2007;Drews, Kristiina;;;
Tähtivaeltaja;1;;;1995;McIntyre, Vonda N.;Siivet;Wings;1979;Peltonen, Leena;;;
Tähtivaeltaja;2;;;1987;Moorcock, Michael;Pekingin yhteys;The Peking Junction;1969;Drews, Kristiina;;;
Tähtivaeltaja;3;;;2009;Nastia T.;MUSP;BEMP;2000;Meriläinen, Sirpa;;;
Tähtivaeltaja;3;;;1989;Niven, Larry;Neutronitähti;Neutron Star;1966;Ronni, Tapani;;;
Tähtivaeltaja;2;;;1999;Noon, Jeff;Blurt;Blurbs;1998;Keynäs, Ville;;;
Tähtivaeltaja;4;;;2015;Okorafor, Nnedi;Hämähäkkimusiikkia;Spider the Artist;2008;Silvonen, Sarianna;;;
Tähtivaeltaja;3;;;1993;Pratchett, Terry;Julmuuden Teatteri;Theatre of Cruelty;1993;Sinkkonen, Marja;;;
Tähtivaeltaja;3;;;2007;Priest, Christopher;Huorat;Whores;1978;Mäkelä, J. Pekka;;;
Tähtivaeltaja;1;;;2008;Priest, Christopher;Hänen jälkensä;The Trace of Him;2008;Mäkelä, J. Pekka;;;
Tähtivaeltaja;4;;;2010;Resnick, Mike;Katastrofi-Parkkonen ja vihoviimeinen kiitoshymni;Catastrophe Baker and a Canticle for Leibowitz;2009;Mäkelä, J. Pekka;;;
Tähtivaeltaja;2;;;2018;Reynolds, Alastair;Kuusitoista kysymystä Kamala Chatterjeelle;Sixteen Questions for Kamala Chatterjee;2016;Koski, Satu;;;
Tähtivaeltaja;2;;;2009;Reynolds, Alastair;Pandoran lipas;Pandora's Box;2009;Jerrman, Toni;;;
Tähtivaeltaja;1;;;2003;Reynolds, Alastair;Tositarina;The Real Story;2002;Blommila, Hannu;;;
Tähtivaeltaja;1;;;2007;Reynolds, Alastair;Zimansininen;Zima Blue;2005;Mäkelä, J. Pekka;;;
Tähtivaeltaja;2;;;2007;Robson, Justina;Tyttö Sankarin peili kertoo, ettei mies ole se;The Girl Hero's Mirror Says He's Not the One;2007;Leikomaa, Marianne;;;
Tähtivaeltaja;3;;;1991;Roger, Frank;Pääosassa;Special Feature;1991;Sinkkonen, Marja;;;
Tähtivaeltaja;3;;;2015;Samatar, Sofia;Tarinoita häviäjille ;Selkie Stories Are for Losers;2013;Silvonen, Sarianna;;;
