Lehti;Number;Number_extra;Count;Year;Tekijä;Novelli;Alkup-novelli;Alkup-vuosi;Suomentaja;runo;raapale;filk
Spin;1;;;2003;Swanwick, Michael;Elementit 46 Palladium: Maailmojen sota;War of the Worlds;2002;Autio, Paula;;;
Spin;1;;;2003;Swanwick, Michael;Elementit 47 Hopea: Lännen sankareiden synkät salaisuudet;Dark Secrets of the Western Heroes;2002;Ahonen, Johanna;;;
Spin;1;;;2003;Swanwick, Michael;Elementit 48 Kadmium: Tähtikirkas yö;Starry Night;2002;Paananen, Leila;;;
Spin;1;;;2003;Swanwick, Michael;Elementit 49 Indium: India Line;On the India Line;2002;Autio, Paula;;;
Spin;1;;;2003;Swanwick, Michael;Elementit 50 Tina: Kellosydänmies;The Man With a Clock for a Heart;2002;Autio, Paula;;;
Spin;2;;;2003;Swanwick, Michael;Elementit 51 Antimoni: Raha ja sen vastakohta;Money and Its Opposite;2002;Hirvonen, Erja;;;
Spin;2;;;2003;Swanwick, Michael;Elementit 52 Telluuri: Vuodenaikojen vaihtuminen;A Change of Seasons;2002;Hirvonen, Erja;;;
Spin;2;;;2003;Swanwick, Michael;Elementit 53 Jodi: In Loco Parentis;In Loco Parentis;2002;Helkiö. Elina;;;
Spin;2;;;2003;Swanwick, Michael;Elementit 54 Ksenon: Soturiprinsessa;Warrior Princess;2002;Hirvonen, Erja;;;
Spin;2;;;2003;Swanwick, Michael;Elementit 55 Cesium: Pilvilinnat;Castles in the Air;2002;Rosvall, Katja;;;
Spin;2;;;2003;Swanwick, Michael;Elementit 56 Barium: Miten bariumperäruiskeen antaminen tapahtuu?;What to Expect From Your Barium Enema;2002;Autio, Paula;;;
Spin;2;;;2003;Swanwick, Michael;Elementit 57 Lantaani: Kuolemattomuus;Immortality;2002;Autio, Paula;;;
Spin;2;;;2003;Swanwick, Michael;Elementit 58 Cerium: Cerium - lopultakin!;Cerium — At Last!;2002;Helkiö. Elina;;;
Spin;2;;;2003;Swanwick, Michael;Elementit 59 Praseodyymi: Absoluuttinen nollapiste;Absolute Zero;2002;Rosvall, Katja;;;
Spin;2;;;2003;Swanwick, Michael;Elementit 60 Neodyymi: Viimeinen työpäivä;Retirement Day;2002;Autio, Paula;;;
Spin;3;;;2003;Swanwick, Michael;Elementit 61 Prometium: Ennalta näkemisen kyky;Foresight;2002;Helkiö. Elina;;;
Spin;3;;;2003;Swanwick, Michael;Elementit 62 Samarium: Erilliset kaupungit;Singular Cities;2002;Hirvonen, Erja;;;
Spin;3;;;2003;Swanwick, Michael;Elementit 63 Europium: Europe ja härkä;Europa and the Bull;2002;Hirvonen, Erja;;;
Spin;3;;;2003;Swanwick, Michael;Elementit 64 Gadolinium: Tatuoinnit;Tattoos;2002;Hirvonen, Erja;;;
Spin;3;;;2003;Swanwick, Michael;Elementit 65 Terbium: Monimuotobotit;Morphobots;2002;Autio, Paula;;;
Spin;3;;;2003;Swanwick, Michael;Elementit 66 Dysprosium: Kirje helvetistä;A Letter from Hell;2002;Jantunen, Paula;;;
Spin;3;;;2003;Swanwick, Michael;Elementit 67 Holmium: Nanoteknologin keuhko;Nanotechnologist's Lung;2002;Autio, Paula;;;
Spin;3;;;2003;Swanwick, Michael;Elementit 68 Erbium: Jaksollisen järjestelmän Tarzan;Tarzan of the Periodic Table;2002;Paananen, Leila;;;
Spin;3;;;2003;Swanwick, Michael;Elementit 69 Tulium: Conan, alkuaikainen;Conan the Elemental;2002;Rosvall, Katja;;;
Spin;3;;;2003;Swanwick, Michael;Elementit 70 Ytterbium: Alkuainepäivä;Elements Day;2002;Autio, Paula;;;
Spin;4;;;2003;Swanwick, Michael;Elementit 71 Lutetium: Lohikäärmetähti;Dragon Star;2002;Autio, Paula;;;
Spin;4;;;2003;Swanwick, Michael;Elementit 72 Hafnium: Sauvaratsastaja;Riding the Rods;2002;Autio, Paula;;;
Spin;4;;;2003;Swanwick, Michael;Elementit 73 Tantaali: Voi Doris-rukkaa!;Consider Poor Doris!;2002;Autio, Paula;;;
Spin;4;;;2003;Swanwick, Michael;Elementit 74 Volframi: Sähkölamppuvitsejä;Light Bulb Jokes;2002;Helkiö. Elina;;;
Spin;4;;;2003;Swanwick, Michael;Elementit 75 Renium: Helyjä ja rihkamaa;Beads and Trinkets;2002;Autio, Paula;;;
Spin;4;;;2003;Swanwick, Michael;Elementit 76 Osmium: Kaikki, minkä äitisi haluaa sinun tietävän osmiumista;Everything Your Mother Wants You to Know about Osmium;2002;Rosvall, Katja;;;
Spin;4;;;2003;Swanwick, Michael;Elementit 77 Iridium: Älä katso taivaisiin!;Don't Look to the Skies!;2002;Paananen, Leila;;;
Spin;4;;;2003;Swanwick, Michael;Elementit 78 Platina: Platinablondi;Platinum Blonde;2002;Hirvonen, Erja;;;
Spin;4;;;2003;Swanwick, Michael;Elementit 79 Kulta: Kauneuden kruunu;Crown of Beauty;2002;Helkiö. Elina;;;
Spin;4;;;2003;Swanwick, Michael;Elementit 80 Elohopea: Esiratsastajat;The Outriders;2002;Hirvonen, Erja;;;
Spin;1;;;2004;Swanwick, Michael;Elementit 81 Tallium: Täydellinen murha;A Perfect Murder;2003;Jantunen, Paula;;;
Spin;1;;;2004;Swanwick, Michael;Elementit 82 Lyijy: Kohtelias yhteiskunta;A Polite Society;2003;Hirvonen, Erja;;;
