Lehti;Number;Number_extra;Count;Year;Tekijä;Novelli;Alkup-novelli;Alkup-vuosi;Suomentaja;runo;raapale;filk
Usva;3;;;2012;Timo Männikkö;Meidän korkeutemme;;;;;;
Usva;2;;;2010;Timo Männikkö;Oh My Darling;;;;;;
Usva;1;;;2016;Pii Nahkuri;Pyydystä ja vapauta;;;;;;
Usva;3;;;2007;Heikki Nevala;Herra Tvist;;;;;;
Usva;1;;;2007;Heikki Nevala;Ihmisten sankarit, jumalten äpärät;;;;;;
Usva;4;;;2010;Heikki Nevala;Kevättä ei voi estää;;;;;;
Usva;4;;;2009;Heikki Nevala;Jousenjänne;;;;;;
Usva;2;;;2008;Heikki Nevala;Muulin jos saisin;;;;;;
Usva;4;;;2005;Heikki Nevala;Orson Shaneyn kasvot;;;;;;
Usva;2;;;2009;Heikki Nevala;Salamanteri;;;;;;
Usva;2;;;2008;Marketta Niemelä;Evelin Epäkade;;;;;;
Usva;1;;;2013;Marketta Niemelä;Laulava avaruuslaiva;;;;;;
Usva;4;;;2008;Marketta Niemelä;Västäräkki;;;;;;
Usva;3;;;2012;Tero Niemi;Taistelutoverit;;;;;;
Usva;2;;;2005;Tero Niemi, Anne Salminen;Eräitä kevätpäiviä eli taivaallisen laatikon tapaus;;;;;;
Usva;2;;;2015;Sara Norja;Vierain silmin;;;;;;
Usva;4;;;2006;Nuoska Norrman;Ukkoslintu;;;;;;
Usva;3;;;2012;Juri Nummelin;Hella;;;;;;
Usva;2;;;2007;Juri Nummelin;Puitten juuret;;;;;;
Usva;2;;;2008;Juri Nummelin;Saapasjalkakissan viimeiset unet;;;;;;
Usva;4;;;2006;Helena Numminen;Allahin enkeliksi;;;;;;
Usva;4;;;2007;Helena Numminen;Hörp slurps verta!;;;;;;
Usva;2;;;2005;Helena Numminen;Valkoinen sulka;;;;;;
Usva;2;;;2015;Liisa Näsi;Ruma vauva;;;;;;
Usva;1;;;2009;Leila Paananen;Saaren perintö;;;;;;
