Lehti;Number;Number_extra;Count;Year;Tekijä;Artikkeli;Aihe;Viitteet
Spin;3;;;2005;Silvennoinen, Saija & Hirsjärvi, Senja & Hirsjärvi, Irma;Smoffit Interactionissa;Worldcon, Conit ulkomailla;
Spin;2;;;2000;Hirsjärvi, Irma;Terveisiä Bergenistä;Norja, conit ulkomailla;
Spin;4;;;1982;Peltonen, Leena;Terveisiä Sweconista, Spin!;Swecon, Conit ulkomailla;
Spin;3;;;1988;Haarikko, Harri;Unkarilaista sörsseliä - 13. Eurocon Budabestissä;Eurocon, Conit ulkomailla;
Spin;2;;;2000;Saario, Mari;Elämäni Eddingsien armoilla;;Eddings, David
Spin;2;;;2008;Mustajärvi, Katimaria;Outoa rakkautta;;Ellilä, Kirsti
Spin;3;;;2000;Suntila, Shimo & Suntila, Petra & Pajari, Kirsi & Paananen, Leila & Halmi, Heiki & Lamminen, Maarit & Alho, Kari & Ahonen, Johanna & Mach, Jens;100 tuntia scifiä arvostelut;Elokuvat;
Spin;4;;;2006;Pohjola, Jouni;A Scanner Darkly;Elokuvat;
Spin;1;;;2007;Pohjola, Jouni;Children of Men;Elokuvat;
Spin;1;;;2001;Pohjola, Jouni;Crouching Tiger, Hidden Dragon;Elokuvat;
Spin;3;;;1990;Wuorinen, Kaisa;Darkman;Elokuvat;
Spin;5;;;1998;Mustalahti, Tero;Deep Throat vastaan Harmaa Ketoon;Elokuvat;
Spin;1;;;1979;Haapio, Markku;Elokuvakatsaus;Elokuvat;
Spin;1;;;2005;Soikkeli, M.G.;Elokuvana scifi on tullut tiensä päähän;Elokuvat;
Spin;1;;;1981;Mäentaka, Kari;Flash Gordon;Elokuvat;
Spin;2;;;2000;Pohjola, Jouni;Galaxy Quest;Elokuvat;
Spin;1;;;2005;Pohjola, Jouni;Haltiaviittojen jälkipyykki - The Lord of the Rings -elokuvatrilogia, raportti 2;Elokuvat, Tolkien;
Spin;3;;;2009;Korhonen, Tytti;Harry Potter ja puoliverinen prinssi;Elokuvat, Harry Potter;
Spin;2;;;2005;Pohjola, Jouni;Hellboy - Director's cut ;Elokuvat;
Spin;2;3-4/2004;;2004;Kaakko, Janne;Hirviöistä ken on kauhein?;Elokuvat;
Spin;4;;;1999;Pohjola, Jouni;Idän ihmeet - fantasiaa Hong Kong -elokuvissa;Elokuvat;
Spin;2;;;2003;Sinisalo, Otto;Ikonien palvontaa;Elokuvat;
Spin;1;;;2007;Pohjola, Jouni;Jadesoturi;Elokuvat;
Spin;3;;;2010;Aalto, Mirelle;Keinotekoisia unia ja geenimonstereita;Elokuvat;
Spin;4;;;2003;Martelius, Hanne;Ken on heistä kaikkein kaunein?;Elokuvat;
Spin;4;b;;2004;Pohjola, Jouni;Koi... Mil Gaya;Elokuvat;
Spin;1;;;2017;Karppanen, Pasi;Kovaa kielitiedettä ja ihmeen tuntua - Dennis Villeneuven Arrival;Elokuvat;
Spin;2;;;2007;Pohjola, Jouni;Krrish;Elokuvat;
Spin;1;;;2005;Pohjola, Jouni;La gran aventura de Mortadelo y Filemón;Elokuvat;
Spin;2;;;2006;Pohjola, Jouni;Mirrormask;Elokuvat;
Spin;1;;;2000;Pohjola, Jouni;Mr. Vampire;Elokuvat;
Spin;4;;;2000;Pohjola, Jouni;Mystery Men;Elokuvat;
Spin;4;;;2014;Ahonen, Kimmo;Oletko nähnyt jo nämä? Tärppejä 1950-luvun tieteiselokuvista;Elokuvat;
Spin;2;;;2007;Pohjola, Jouni;Paheli;Elokuvat;
Spin;1;;;2007;Pohjola, Jouni;Pan's Labyrinth - El laberinto del fauno ;Elokuvat;
Spin;1;;;2010;Aalto, Mirelle;Salamavaras;Elokuvat;
Spin;4;;;2008;Mustajärvi, Katimaria;Sauna;Elokuvat;
Spin;1;;;2006;Pohjola, Jouni;Serenity;Elokuvat;
Spin;1;;;2006;Pohjola, Jouni;The Call of Cthulhu;Elokuvat;
Spin;4;;;2008;Mustajärvi, Katimaria;The Dark Knight;Elokuvat;
Spin;2;;;2007;Pohjola, Jouni;The Fountain;Elokuvat;
Spin;2;;;1999;Pohjola, Jouni;The Stormriders;Elokuvat;
Spin;1;;;2006;Paananen, Leila;V niin kuin verikosto;Elokuvat;
Spin;6;;;1999;Viljamaa, Emma;X-Men the Movie - kohta se on vihdoinkin täällä;Elokuvat;
Spin;3;;;2000;Talvitie, Dare;X-Men Xperience;Elokuvat;
Spin;3;;;2008;Anonyymi;5 scifistä ;;Erkki, Harri
Spin;1;;;2008;Anonyymi;5 scifistä ;;Eskola, Kanerva
Spin;4;;;2008;Martelius, Hanne;Aloittelijan opas fan fictioniin;Kirjoittaminen, Fan fiction;
Spin;1;;;2008;Rossi, Eeva;Harry Potter ja fanifiktion ihmeellinen maailma;Kirjoittaminen, Fan fiction, Harry Potter;
Spin;2;;;2008;Saario, Mari;Ei mikään nörttipoika - SW-fanin muotokuva;Fandom, Star Wars;Saaros, Kirsi
Spin;2;;;2004;Anonyymi;Esittelyssä TSFS:n vuoden 2004 hallitus;Fandom, TSFS;
Spin;1;;;2006;Anonyymi;Esittelyssä hallitus 2006;Fandom, TSFS;
Spin;1;;;1986;Hinkkanen, Juhani;Fandom Suomessa - subjektiivista historiaa hulluilta vuosilta 1981-83;Fandom;
Spin;1;;;1986;Ölander, Tom;Fandom-ilmiö ;Fandom;
