Lehti;Number;Number_extra;Count;Year;Tekijä;Novelli;Alkup-novelli;Alkup-vuosi;Suomentaja;runo;raapale;filk
Alienisti;;;30;2013;Seppo Kallio;Kuolema Amazonilla;;;;;;
Alienisti;;;27;2011;Seppo Kallio;Lokin loikka;;;;;;
Alienisti;;;37;2017;Seppo Kallio;Olen nähnyt neidon kylvyssä;;;;;;
Alienisti;;;36;2016;Seppo Kallio;Oppitunti Sharkeen maailmassa;;;;;;
Alienisti;;;29;2012;Seppo Kallio;Perdition-kadun galleria;;;;;;
Alienisti;;;32;2014;Seppo Kallio;Valintoja;;;;;;
Alienisti;;;34;2015;Camilla Kantola;Lapsella on oikeus elävään huoltajaan;;;;;;
Alienisti;;;37;2017;Camilla Kantola;Minuutti;;;;;raapale;
Alienisti;;;38;2018;Camilla Kantola;Spraypurkka;;;;;;
Alienisti;;;12;2012;Pasi Karppanen;Viimeisellä hetkellä;;;;;raapale;
Alienisti;;;26;2011;Salla Karppinen;Vakuutus;;;;;;
Alienisti;;;6;1992;Helena Karsik;Kertomus eläväruumiistani;;;;;;
Alienisti;;;8;1994;Helena Karsik;Koira;;;;;;
Alienisti;;;12;2001;Helena Karsik;Molli ja minä;;;;;;
Alienisti;;;9;1995;Helena Karsik;Nimetön teksti galaksiboksissani;;;;;;
Alienisti;;;7;1993;Helena Karsik;Penelopeia;;;;;;
Alienisti;;;36;2016;Laura I. Kataja;Myrkky;;;;;;
Alienisti;;;26;2011;"Juha ""SidSid"" Keränen";Helico;;;;;;
Alienisti;;;27;2011;"Juha ""SidSid"" Keränen";Kirvesmies kohtaa metsänvartijan;;;;;;
Alienisti;;;17;2005;Vantte Kilappa;The Toy's Purpose;;;;;;
Alienisti;;;1;1990;Esa Klemola;Metsästyskausi;;;;;;
Alienisti;;;38;2018;Marja-Leena Klint;Lohikäärmeen varjossa;;;;runo;;
Alienisti;;;39;2019;Marja-Leena Klint;Meidän on unohdettava jotta voisimme muistaa;;;;;;
Alienisti;;;33;2014;Inkeri Kontro;Cesiumin nauru;;;;;;
Alienisti;;;23;2009;Vesa Korhonen;Humanoidifragmentteja;;;;;;
Alienisti;;;13;2002;Vesa Korhonen;Murikat;;;;;;
Alienisti;;;13;2002;Vesa Korhonen;Päiväuni;;;;;;
