Lehti;Number;Number_extra;Count;Year;Tekijä;Artikkeli;Aihe;Viitteet
Legolas;;;32;2004;Vinni, Päivi & Neuvonen, Sini;Robin Hobb Jyväskylässä;;Hobb, Robin
Legolas;;;44;2008;Vinni, Pauli;Hyborian lukuisat presentaatiot;;Howard, Robert E.
Legolas;;;44;2008;Lauronen, Mika-Petri;Robert E. Howard;;Howard, Robert E.
Legolas;;;17;1998;Halme, Jukka;Brian Jacques ja Redwallin lumo;;Jacques, Brian
Legolas;;;23;2001;Vinni, Päivi;In Memoriam Tove Jansson;;Jansson, Tove
Legolas;;;10;1994;Edin, Elisabeth & Vainikainen, Johanna;Onnea 80-vuotiaalle Tove Janssonille!;;Jansson, Tove
Legolas;;;15;1997;Rainio, Tarja;Diana Wynne Jones - fantasiasta scifiin, huumorista jännitykseen;;Jones, Diana Wynne
Legolas;;;31;2004;Leikomaa, Marianna;Guy Gavriel Kay - Fantasiaa aikuisempaankin makuun;;Kay, Guy Gavriel
Legolas;;;19;2001;Peltonen, Leena;Fantasian tulkit;Kirjoittaminen;
Legolas;;;43;2008;Peltonen, Ella;Fantasianovellin (tai -romaanin) luontilomake;Kirjoittaminen;
Legolas;;;27;2003;Kontro, Aino;Harry Potter fanien kourissa;Kirjoittaminen, Harry Potter;
Legolas;;;29;2003;Neuvonen, Sini;Kirjava - Harrastuksena kustantaminen;Kustantaminen;
Legolas;;;29;2003;Heinonen, Maarit & Rimón, Ilana;Visioita ja valintoja - Kustantaja kohtaa fantasian;Kustantaminen;
Legolas;;;27;2003;Rainio, Tarja;Ursula Le Guinin Maameri;;Le Guin, Ursula K.
Legolas;;;16;1998;Halme, Jukka;Pekka Markkula;;Markkula, Pekka
Legolas;;;6;1993;Lönnqvist, Janne;Elric Melnibonelainen;;Moorcock, Michael
Legolas;;;10;1994;Vainikainen, Johanna;Jukka Murtosaarikin piirtää muumeja!;;Murtosaari, Jukka
Legolas;;;3;1992;Lipton, Saku;A Short History of Filk;Musiikki;
Legolas;;;1;1991;Vainikainen, Johanna;Bluesia Lothlorienissa ja muita merkillisyyksiä;Musiikki;
Legolas;;;27;2003;Daeron;Filk music from Finland;Musiikki;
Legolas;;;49;;Leikomaa, Marianna;Filkkausta - siis mitä?;Musiikki;
Legolas;;;9;1993;Vainikainen, Johanna;Haastateltavana Toni Edelmann;Musiikki;
Legolas;;;2;1992;Vainikainen, Johanna;Lisää bluesia...;Musiikki;
Legolas;;;29;2003;Rimón, Ilana;Kuvastaja 2003;Palkinnot, Kuvastaja-palkinto;
Legolas;;;37;2005;Leikomaa, Marianna;Kuvastaja-palkinto Ilkka Auerille;Palkinnot, Kuvastaja-palkinto;Auer, Ilkka
Legolas;;;23;2001;Neuvonen, Markus;Kuvastaja-palkinto Johanna Sinisalolle;Palkinnot, Kuvastaja-palkinto;Sinisalo, Johanna
Legolas;;;27;2003;Polvinen, Sari;World Fantasy Award;Palkinnot, World Fantasy Award;
Legolas;;;32;2004;Polvinen, Sari;World Fantasy Award - Nykypäivä;Palkinnot, World Fantasy Award;
Legolas;;;30;2004;Polvinen, Sari;World Fantasy Award - Seuraavat kymmenen vuotta;Palkinnot, World Fantasy Award;
Legolas;;;43;2008;Vinni, Pauli;Aikojen loppu;Pelit;
Legolas;;;11;1994;Hario, Sampsa;Postipelit - pelikaveri, jolla on aikaa;Pelit;
Legolas;;;43;2008;Vainikainen-Uusitalo, Johanna;Leena Peltonen 1951-2007;;Peltonen, Leena
Legolas;;;9;1993;Vainikainen, Johanna;In memoriam Eila Pennanen;;Pennanen, Eila
Legolas;;;7;1993;Hiltunen, Petri & Laajarinne, Jukka;Terry Pratchett;;Pratchett, Terry
Legolas;;;31;2004;Heinonen, Maarit & Neuvonen, Markus;A Game of Thrones - Valtaistuinpeli puntarissa;Pelit, Roolipelit;
Legolas;;;15;1997;Mäntylä, Tero;Alainia;Pelit, Roolipelit;
Legolas;;;36;2005;Vinni, Pauli;Anachronism - Historiaa pelilaudalla;Pelit, Roolipelit;
Legolas;;;2;1992;Vainikainen, Tommi;Ja vastaanottaja maksaa postikulut;Pelit, Roolipelit;
Legolas;;;1;1991;Lehtinen, Vesa;Keskimaa-roolipeli;Pelit, Roolipelit;
Legolas;;;4;1992;Laaksonen, Mika;Lord of the Rings - roolipeli keski-maasta;Pelit, Roolipelit;
Legolas;;;46;2009;Vinni, Pauli;LOTRO - Lord of the Rings Online;Pelit, Roolipelit;
Legolas;;;15;1997;Mäntylä, Tero;Magiaa teoriassa ja käytännössä;Pelit, Roolipelit;
Legolas;;;11;1994;Kallionsivu, Mikko A.;Roolipelaajan vastuusta;Pelit, Roolipelit;
