Lehti;nro;Tekijä;Artikkeli;Aihe;Viitteet
Alienisti;16;42:n tontut;Finncon-peli;Fandom, Finncon;
Alienisti;17;Marko Ahonen;Free Scifi Lunch on the Menu;Fandom, sf-seurat, Jyväskylän Science Fiction Seura 42;
Alienisti;23;Marko Ahonen;Huonomuistisen scifi-muistelmat;Fandom, sf-seurat, Jyväskylän Science Fiction Seura 42;
Alienisti;13;Tom Ölander;Kansainvälisen scifi-fandomin synty. Esitelmä Jyväskylän Kesän Finnconissa 14.7.2001.;Fandom, sf-seurat;
Alienisti;39;Irma Hirsjärvi;Kiittäkää Jyväskylän Kesää ja Ahosen Markoa!;Fandom, sf-seurat, Jyväskylän Science Fiction Seura 42, Jyväskylän Kesä, Finncon;
Alienisti;22;Jussi Vainikainen;Kuvia vuoden 2009 varrelta;Fandom, sf-seurat, Jyväskylän Science Fiction Seura 42;
Alienisti;23;Rosebud de Bovin;Rosebudin muisteloita, osa 42;Fandom, sf-seurat, Jyväskylän Science Fiction Seura 42;
Alienisti;36;Lasse Ranta;Salaiset kansiot;Fandom, sf-seurat, Jyväskylän Science Fiction Seura 42;
Alienisti;23;Boris Hurtta;Saunapalvattua Wanhaa Herraa;Fandom, sf-seurat, Jyväskylän Science Fiction Seura 42, Wanhat Herrat;
Alienisti;2;Johanna Vainikainen;Suomen Tolkien-seura perustettu!;Fandom, sf-seurat, Suomen Tolkien-seura;
Alienisti;17;Irma Hirsjärvi;We Do It for Free;Fandom, Finncon;
Alienisti;39;Anne Leinonen;Lokacon 2018 - Anne Leinonen haastattelee Marko Hautalaa ja Terhi Tarkiaista;Lokacon;Marko Hautala, Terhi Tarkiainen
Alienisti;22;Anne Leinonen, Liisa Rantalaiho, Johanna Vainikainen, Karoliina Leikomaa, Marianna Leikomaa;Dr. Ipa's Sing-Along-Blog - Tohtori Ipan Laula-mukana -blogi;Fandom;Irma Hirsjärvi
Alienisti;15;Robin Hobb;5000 sanaa itsestäni;;Robin Hobb
Alienisti;5;Leena Peltonen;Metsien mies;;Robert Holdstock
Alienisti;29;Timo Männikkö;Tieteisseikkailuja vuosien takaa;;Osmo Ilmari
Alienisti;16;Jukka Halme;Maalla, merellä ja ilmassa: Korvatunturin Kova Kolli;Joulupukki;
Alienisti;31;Anne Leinonen;Pasi Ilmari Jääskeläisen haastattelu Lokaconissa 2013;Lokacon;Pasi Ilmari Jääskeläinen
Alienisti;2;Marko Ahonen;Stephen King - kauhun kuningas, taalojen ruhtinas;Kauhu;Stephen King
Alienisti;19;Mari Tuukkanen;Aiotko tieteiskirjailijaksi?;Kirjoittaminen;
Alienisti;2;Mika-Petri Lauronen;Kirjoittamisesta;Kirjoittaminen;
Alienisti;1;Marko Ahonen;Luomisen tuska - onko sitä?;Kirjoittaminen;
Alienisti;25;Anne Leinonen;Runous, kyntämätön korpimaa?;Kirjoittaminen, Runot;
Alienisti;26;Irma Hirsjärvi;Pertti Kivelä - The Man;;Pertti Kivelä
Alienisti;28;Anne Leinonen;Tyttöjen välistä herkkyyttä;;Sheridan Le Fanu
Alienisti;34;Irma Hirsjärvi;Haastattelussa Anne Leinonen;;Anne Leinonen
Alienisti;25;Liisa Rantalaiho;Aniara. Katsaus ihmiseen ajassa ja tilassa;Aniara, Runot;Harry Martinson
Alienisti;15;John Clute;William Mayne;;William Mayne
Alienisti;16;Jussi Vainikainen;42:n joululaulukilpailu;Musiikki, Filk;
Alienisti;4;Jussi Vainikainen;Blue Öyster Cult;Musiikki, Blue Öyster Cult;
Alienisti;36;Irma Hirsjärvi;Kauniita aarioita, romanttinen tarina, psykedeliaa ja social science fictionia!;Musiikki, Ooppera, Indigo-ooppera;
Alienisti;2;Jussi Vainikainen;Rush - a band with a vision;Musiikki, Rush;
Alienisti;25;Eero Suoranta;Talvikuninkaan tulkintaa;Musiikki, CMX;
Alienisti;18;Irma Hirsjärvi;Hirsjärvi Hugoissa;Palkinnot, Hugo-palkinto,Worldcon;
