Lehti;Number;Number_extra;Count;Year;Tekijä;Artikkeli;Aihe;Viitteet
Kosmoskynä;3;;;2004;Henriksson, Saara;Alternaattori työssään - STk:n kirjoittajakurssi Piikkiössä 17.-18.4.2004;Kirjoittaminen;
Kosmoskynä;2;;;2011;Henriksson, Saara;Amerikka, kirjoittajan ihmemaa?;Kirjoittaminen;
Kosmoskynä;3;;;2014;Lehtinen, Vesa;Ann Hood: Creating Character Emotions;Kirjoittaminen;
Kosmoskynä;3;;;2012;Tirronen, Piia & Sipiläinen, Tarja;Antaumuksellista keskustelua keskeneräisyydestä;Kirjoittaminen, Maria Peura;
Kosmoskynä;2;;;2016;Alatalo, Katri;Apurahaviidakko;Kirjoittaminen;
Kosmoskynä;1;;;2011;Henriksson, Saara;Apurahaviidakkoa aloittelijoille;Kirjoittaminen;
Kosmoskynä;4;;;2006;Oksanen, Kati;Arto Seppälä, Markku Hattula: Sanasi sun - luovan kirjoittamisen opas ja lukemisto;Kirjoittaminen;
Kosmoskynä;3;;;2003;;Atorox-paneeli 2003;Kirjoittaminen;
Kosmoskynä;4;;;1993;Jaeger, Eeva;Aukeaman anatomiaa;Kirjoittaminen;
Kosmoskynä;2;;;2018;Katajala, Jussi & Koskimies, Markus;Avaruus tarinan näyttämönä;Kirjoittaminen;
Kosmoskynä;2;;;2001;Lehtinen, Vesa;Ben Bova: The Craft of Writing Science Fiction that Sells;Kirjoittaminen;
Kosmoskynä;1;;;2016;Aphalo, Rosa;Bensaa kirjoittamisen liekkeihin - Kirjoittamisen opetu..;Kirjoittaminen;
Kosmoskynä;2;;;2013;Leinonen, Anne;Beth Daniels: Writing Steampunk!;Kirjoittaminen;
Kosmoskynä;3;;;2004;Kangasvuo, Jenny;Bruce Holland Rogers: Word Work - Surviving and Thriving as a Writer;Kirjoittaminen;
Kosmoskynä;2;;;2011;Lehtinen, Vesa;Chris Baty: No Plot? No Problem!;Kirjoittaminen;
Kosmoskynä;4;;;2001;Ranta-aho, Tapio;Detaljista toiseen, eli olivatko ne helppoja esineitä?;Kirjoittaminen;
Kosmoskynä;2;;;1999;Jääskeläinen, Pasi & Sirkiä, Pekka & Soikkeli, Markku;Epilogi eläintarhalle;Kirjoittaminen;
Kosmoskynä;3;;;2011;Meresmaa, J.S. & Henriksson, Saara & Nevala, Heikki & Saarto, Timo & Rasi-Koskinen, Marisha;Esikoiskirjailijoilta eivät ideat lopu;Kirjoittaminen;
Kosmoskynä;3;;;2001;Urpi, Tuukka;Esiraadin toiminta;Kirjoittaminen;
Kosmoskynä;3;;;2012;Leinonen, Anne;Esteitä laidasta laitaan;Kirjoittaminen;
Kosmoskynä;2;;;1992;Sinkkonen, Marja;Explosive bolts - varokaa, ovi voi räjähtää;Kirjoittaminen;
Kosmoskynä;2;;;2000;Salin, Petri;Felix Culpa, sanoi kirjailija;Kirjoittaminen;
Kosmoskynä;2;;;2018;Soikkeli, Markku;Harjoituspitoinen kirjoitusopas spefi-harrastajalle;Kirjoittaminen;
Kosmoskynä;2;;;2009;Ouramaa, Anniina;Heikki Salo: Kahlekuningaslaji - laululyriikan käsikirja;Kirjoittaminen;
Kosmoskynä;3;;;2007;Ahlstedt, Laika;Henkilöt ja hahmot;Kirjoittaminen;
Kosmoskynä;1;;;2011;Sinisalo, Henna;Historiallisen tiedon jäljillä;Kirjoittaminen;
Kosmoskynä;3;;;2011;Pohjonen, Eeva;Hunajaa korville ;Kirjoittaminen;
Kosmoskynä;2;;;2012;Leinonen, Anne;Hylkiönovellit - Mitä tehdä novellille, joka ei menesty kirjoituskisassa?;Kirjoittaminen;
Kosmoskynä;4;;;2015;Korento, Nina & Lönnberg, Olli;Härkäpapua ja fokalisaatiota Suvisaaristossa;Kirjoittaminen;
Kosmoskynä;1;;;2011;Kisnanen, Natalia;Ixin H'ssä-ssä eli eräs pohjaton pohjatyö, joka kannatti;Kirjoittaminen;
Kosmoskynä;3;;;2011;Katajala, Jussi;Jeff VanderMeer: Booklife - Strategies and Survival Tips for the 21st-Century Writer;Kirjoittaminen;VanderMeer, Jeff
Kosmoskynä;3;;;2013;Niskanen, Nina;Jeff Vandermeer: Wonderbook;Kirjoittaminen;VanderMeer, Jeff
Kosmoskynä;2;;;2012;Lintunen, Kalle;John Vorhaus: The Comic Toolbox - How To Be Funny Even If You're Not;Kirjoittaminen;
Kosmoskynä;2;;;2014;Lehtinen, Vesa;Jordan E. Rosenfeld: Make a Scene;Kirjoittaminen;
Kosmoskynä;1;;;1995;Hirsjärvi, Irma;Jotkin asiat eivät muutu koskaan...;Kirjoittaminen;
Kosmoskynä;2;;;2014;Hirsjärvi, Irma;Jotkin asiat eivät muutu koskaan...;Kirjoittaminen;
Kosmoskynä;2;;;2005;Kangasvuo, Jenny;Julia Cameron: Tyhjän paperin nautinto;Kirjoittaminen;
Kosmoskynä;3;3-4/2008;;2008;Ahlstedt, Laika;Kaavanovelli kirjoittajan työkaluna;Kirjoittaminen;
Kosmoskynä;2;;;1992;Tenhunen, Eeva-Liisa;Kalevalaa fantasiakirjoittajalle;Kirjoittaminen, Kalevala;
Kosmoskynä;4;;;2015;Leppälahti, Merja;Kansanperinteestä ideoita kirjoittamiseen;Kirjoittaminen;
Kosmoskynä;3;;;1989;Kasvi, Jyrki J.J.;Kartalta paperille;Kirjoittaminen;
Kosmoskynä;3;;;2005;Leinonen, Anne;Kehnon novellin resepti;Kirjoittaminen;
Kosmoskynä;1;;;2011;Jänkälä, Tomi;Keijot keskuudessamme;Kirjoittaminen;
Kosmoskynä;3;;;2007;Karppanen, Pasi;Kenen kengissä kuljet... Ihmistyyppinelikenttien kiehtova maailma;Kirjoittaminen;
Kosmoskynä;1;;;2012;Lintunen, Venla;Kielenhuollon pikaopas;Kirjoittaminen;
Kosmoskynä;1;;;2011;Kisnanen, Natalia;Kieli ja kulttuuri kuuluvat toisilleen;Kirjoittaminen;
Kosmoskynä;2;;;2018;Alatalo, Katri;Kirjailijan vaatekaappi;Kirjoittaminen;
Kosmoskynä;3;;;1994;Tenhunen, Eeva-Liisa;Kirjakuoriainen ja fiktion lähdemateriaali;Kirjoittaminen;
Kosmoskynä;3;;;1991;Tenhunen, Eeva-Liisa;Kirjakuoriaisen lyriikan ABC;Kirjoittaminen;
Kosmoskynä;1;;;1994;Hiltunen, Petri;Kirjoita kuva;Kirjoittaminen;
Kosmoskynä;3;;;2011;Sarmavuori, Katri;Kirjoitan, koska minun täytyy kirjoittaa. TÄYTYY.;Kirjoittaminen;
Kosmoskynä;3;3-4/2008;;2008;Peltoniemi, Sari;Kirjoitan - siis olen! Luovan kirjoittamisen opas peruskoulun 5.–9. luokille;Kirjoittaminen;
Kosmoskynä;1;;;2016;Alatalo, Katri;Kiroittajan itsetutkiskelua;Kirjoittaminen;
Kosmoskynä;3;;;2012;Halonen, Anne-Mari;Kirjoittajan rajat ja kuinka ne ylitetään;Kirjoittaminen;
Kosmoskynä;4;;;2006;Tykkä, Saana E.;Kirjoittajan roolit ja elämä;Kirjoittaminen;
Kosmoskynä;2;;;2010;Jänkälä, Tomi;Kirjoittajaringit - Kritiikkiä pienessä piirissä;Kirjoittaminen;
Kosmoskynä;1;;;1994;Budrys, Algis;Kirjoittaminen - Osa 1;Kirjoittaminen;Budrys, Algis
Kosmoskynä;2;;;1994;Budrys, Algis;Kirjoittaminen - Osa 2;Kirjoittaminen;Budrys, Algis
Kosmoskynä;3;3-4/1994;;1994;Budrys, Algis;Kirjoittaminen - Osa 3;Kirjoittaminen;Budrys, Algis
Kosmoskynä;1;;;1995;Budrys, Algis;Kirjoittaminen - Osa 4;Kirjoittaminen;Budrys, Algis
Kosmoskynä;3;3-4/2008;;2008;Oksanen, Kati & Karppanen, Pasi;Kirjoittamisen opettaja on yhtä aikaa opettaja ja kirjoittaja – Haastattelussa Kirsti Ellilä ja Riku Korhonen;Kirjoittaminen;Ellilä, Kirsti
Kosmoskynä;3;3-4/2008;;2008;Hammar, Christine;Kirjoittamisen opettamisesta ja oppimisesta;Kirjoittaminen;
Kosmoskynä;1;;;1990;Kasvi, Jyrki J.J.;Kirjoittamisen peruspsykologiaa;Kirjoittaminen;
Kosmoskynä;3;3-4/2008;;2008;Henriksson, Saara & Soikkeli, Markku;Kirjoittamista sana kerrallaan - STk:n kirjoittajakurssi Tampereella 15.–16.11.2008;Kirjoittaminen;
Kosmoskynä;3;3-4/2009;;2009;Korhonen, Vesa;Kolumnin kirjoittamisen sietämätön keveys;Kirjoittaminen;
Kosmoskynä;1;;;2012;Myöhänen, Riitta;Kolumnista kolumni;Kirjoittaminen;
Kosmoskynä;2;;;2000;Tapio, Juha K.;Kosmoksen nurkkaus;Kirjoittaminen;
Kosmoskynä;3;;;2000;Tapio, Juha K.;Kosmoksen nurkkaus - Unelma kirjoittamisesta;Kirjoittaminen;
Kosmoskynä;4;;;2000;Tapio, Juha K.;Kosmoksen nurkkaus - Julkaisemisesta ja kustantamisesta;Kirjoittaminen;
Kosmoskynä;1;;;2001;Tapio, Juha K.;Kosmoksen nurkkaus - Lukemisesta ja kirjoittamisesta;Kirjoittaminen;
Kosmoskynä;2;;;2001;Tapio, Juha K.;Kosmoksen nurkkaus - Goldbergin opit (Natalie Goldberg: Writing Down the Bones - Freeing the Writer Within);Kirjoittaminen;
Kosmoskynä;2;;;2018;Leinonen, Anne;Kosmoksesta kauhuun;Kirjoittaminen;
Kosmoskynä;4;;;2012;Leinonen, Anne;Kuinka annan ateljeekritiikkiä?;Kirjoittaminen;
Kosmoskynä;1;;;1992;Sinisalo, Johanna;Kuinka kirjoitetaan science fictionia Orson Scott Cardin tapaan;Kirjoittaminen;
Kosmoskynä;2;;;1993;Jaeger, Eeva;Kun asiakirjoittaminen tukee tarinan kirjoittamista;Kirjoittaminen;
Kosmoskynä;4;;;2005;Laurila, Natalia;Kun kirjaimet pakkautuvat päähän;Kirjoittaminen;
Kosmoskynä;3;;;2000;Karonen, Jarmo;Kun klassikot käyvät läpi;Kirjoittaminen;
Kosmoskynä;3;3-4/2010;;2010;Ahola, Jukka;Kun äly ei riitä;Kirjoittaminen;
Kosmoskynä;1;;;2006;Rajaniemi, Hannu;Kurkunleikkaajien saari - kirjoittajana Isossa-Britanniassa;Kirjoittaminen;
Kosmoskynä;1;;;1995;Kivelä, Marko;Kuvitteellinen maailma;Kirjoittaminen;
Kosmoskynä;2;;;2000;Lehtinen, Vesa;Kuvitteellinen maailma;Kirjoittaminen;
Kosmoskynä;3;;;2001;Lehtinen, Vesa;Kuvitteellinen maailma (ensimmäinen yleisartikkeli);Kirjoittaminen;
Kosmoskynä;1;;;2002;Lehtinen, Vesa;Kuvitteellinen maailma - Tähdet;Kirjoittaminen;
Kosmoskynä;1;;;2003;Lehtinen, Vesa;Kuvitteellinen maailma - Planeetta: Radat;Kirjoittaminen;
Kosmoskynä;3;;;2003;Lehtinen, Vesa;Maailmansepän paja (Kuvitteellinen maailma) - Pintaolosuhteet;Kirjoittaminen;
Kosmoskynä;3;;;2015;Rasilainen, Tiina;Kuvitteellisten maailmojen kovat faktat - tieteen käsittely fiktiivisessä tekstissä;Kirjoittaminen;
Kosmoskynä;2;;;1993;Ronni, Tapani;Kynä ja ruoska - kirjoittajakurssi Jyväskylän suvessa;Kirjoittaminen;
Kosmoskynä;2;;;2005;Leinonen, Anne;Käsikirjoituksesta kirjaksi 1 - Kustantamon kalastaminen;Kirjoittaminen;
Kosmoskynä;3;;;2005;Leinonen, Anne;Käsikirjoituksesta kirjaksi 2 - Käsikirjoitus kustantamossa;Kirjoittaminen;
Kosmoskynä;4;;;2005;Leinonen, Anne;Käsikirjoituksesta kirjaksi 3 - Kirja matkaa maailmalle;Kirjoittaminen;
Kosmoskynä;3;3-4/2008;;2008;Soikkeli, Markku & Laitinen, Laura & Saloranta, Tuomas;Lapsenryöstö kolmelta kantilta;Kirjoittaminen;
Kosmoskynä;3;3-4/2010;;2010;Thorel, Christine & Henriksson, Saara;Lapsia, tiskivuoroja ja käsikirjoituksia;Kirjoittaminen;
Kosmoskynä;2;;;2001;Pohjola, Mike;Larpin kirjoittaminen;Kirjoittaminen, Roolipelit;
Kosmoskynä;1;;;1990;Kasvi, Jyrki J.J.;Lausekieli hoitoon;Kirjoittaminen;
Kosmoskynä;1;;;1990;Kasvi, Jyrki J.J.;Lehtiin kirjoittamalla saa rahaa;Kirjoittaminen;
Kosmoskynä;3;3-4/2009;;2009;Lehtinen, Vesa;Leonard Bishop: Dare to Be a Great Writer;Kirjoittaminen;
Kosmoskynä;2;;;2000;Ahonen, Marko & Verronen, Maarit & Jääskeläinen, Pasi;"Leopardi kaapissa - ""Mikä onkaan typerintä mitä olet koskaan kirjoittanut?""";Kirjoittaminen;
Kosmoskynä;4;;;2000;Järvinen, Seppo & Laine, Petri & Leinonen, Anne;Leopardi kaapissa;Kirjoittaminen;
Kosmoskynä;2;;;2018;Laine, Elina;Luovaa kirjoittamista kirjallisuuslehti Lumoojan malliin;Kirjoittaminen;
Kosmoskynä;1;;;1992;Tenhunen, Eeva-Liisa;Lyriikan keinot;Kirjoittaminen;
Kosmoskynä;1;;;1988;Peltonen, Leena & Haarikko, Harri;Mietteitä STk:n ensimmäisestä novellikilpailusta;Kirjoittaminen, Kilpailut;
Kosmoskynä;2;;;2011;Pohjonen, Eeva;Mihin kuuluu hiljaisuuden ääni?;Kirjoittaminen;
Kosmoskynä;1;;;2009;Raevaara, Tiina;Miksi jotkut kirjoittavat hirviöistä ja toiset eivät?;Kirjoittaminen;
Kosmoskynä;4;;;1993;Salminen, Juha & Tenhunen, Eeva-Liisa & Supinen, Pekka & Virtanen, Pekka & Oikarinen, Antti;Miksi kirjoitan - vai kirjoitanko?;Kirjoittaminen;
Kosmoskynä;4;;;1991;Tenhunen, Eeva-Liisa;Millainen on lyyrinen runo?;Kirjoittaminen;
Kosmoskynä;3;;;2011;Männikkö, Timo;Minä ja minun dialogini;Kirjoittaminen;
Kosmoskynä;3;;;2014;Timonen, Juri;Miten kirjoittaa historiasta - Viisi näkemystä historiallisen spefin kirjoittamisesta;Kirjoittaminen;
Kosmoskynä;2;;;2013;Meresmaa, J.S.;Miten kirjoittaa steampunkia - katsaus kellopelikirjallisuuden kirjoitusvinkkeihin;Kirjoittaminen;
Kosmoskynä;4;;;2014;Tirronen, Piia;Mitä kummaa: opas kotimaiseen spekulatiiviseen fiktioon;Kirjoittaminen;
Kosmoskynä;1;;;2016;Alatalo, Katri;Monia teitä kirjailijaksi;Kirjoittaminen;
Kosmoskynä;2;;;2015;Myllymäki, Mia;Morren maailma tuo kirja-alan palvelut lähemmäksi kirjoittajia;Kirjoittaminen;Matilainen, Hanna
Kosmoskynä;2;;;2015;Jyrkäs, Juha;Musiikki kirjoittamisen apuvälineenä;Kirjoittaminen, Musiikki;
Kosmoskynä;3;;;2007;Lehtinen, Vesa;Nancy Kress: Dynamic Characters;Kirjoittaminen;
Kosmoskynä;2;;;2007;Ohinmaa, Anna;Nanowrimo - erään voittajan tunnelmia;Kirjoittaminen;
Kosmoskynä;3;;;2006;Kangasvuo, Jenny;Natalie Goldberg: Luihin ja ytimiin, avoin mieli;Kirjoittaminen;
Kosmoskynä;3;;;1988;Meriranta, Anetta;Ne iänikuiset ikivanhat kliseet;Kirjoittaminen;
Kosmoskynä;3;;;2001;Peltoniemi, Sari;Nova 2001 - lohikäärmeitä ja ykkösriviväliä;Kirjoittaminen, Kilpailut;
Kosmoskynä;3;;;2000;Järvinen, Seppo;Novelli - sanataiteen helmi;Kirjoittaminen;
Kosmoskynä;2;;;1989;Laitinen, Markku;Novellin rakenne;Kirjoittaminen;
Kosmoskynä;4;;;1988;Salminen, Juha;Ohjeet kirjoittajille;Kirjoittaminen;
Kosmoskynä;3;;;2003;Rantalaiho, Liisa;Palveluksessanne;Kirjoittaminen;
Kosmoskynä;2;;;2015;Mäkelä, J. Pekka;Pari ajatusta musiikista kirjoittamisessa;Kirjoittaminen, Musiikki;
Kosmoskynä;4;;;1995;Kivelä, Marko;Pari sanaa fantasiakirjoittamisesta;Kirjoittaminen, Fantasia;
Kosmoskynä;3;;;1987;Salokangel, Juhani;Weilin+Göös: Persoonallisuuksia etsitään;Kirjoittaminen, Kustantaminen;
Kosmoskynä;2;;;2015;Nevala, Heikki;Pulahdus tarinaan - Kolkon tunnelman löytämisestä ja yleispätevän kauhureseptin hankaluudesta ;Kirjoittaminen, Kauhu;
