Lehti;Number;Number_extra;Count;Year;Tekijä;Novelli;Alkup-novelli;Alkup-vuosi;Suomentaja;runo;raapale;filk
Aikakone;2;;;1992;Santikko, Sauli;Eläimiinsekaantuja;;;;;raapale;
Aikakone;1;1-2/1994-95;;1995;Santikko, Sauli;Ja pimeys tuli;;;;;;
Aikakone;2;;;1992;Santikko, Sauli;Kromiomena;;;;;;
Aikakone;1;;;1993;Santikko, Sauli;Kulttisarja;;;;;raapale;
Aikakone;1;b;;1995;Santikko, Sauli;Nanomalia;;;;;;
Aikakone;3;Vol.1 No.4;;1982;Sillanpää, Raimo;Muodonmuutos;;;;;;
Aikakone;3;;;1991;Sinisalo, Johanna;Jälkeen syntiinlankeemuksen;;;;;;
Aikakone;1;;;1992;Sinisalo, Johanna;Kharonin lautta;;;;;;
Aikakone;4;;;1995;Sinisalo, Johanna;Maaksi sinä olet tuleman;;;;;raapale;
Aikakone;3;;;1991;Sinisalo, Johanna;Metsän tuttu;;;;;;
Aikakone;2;Vol.4 No.2;;1985;Sinisalo, Johanna;Musta sirkus;;;;;;
Aikakone;1;;;1990;Sinisalo, Johanna;Punatähti;;;;;;
Aikakone;3;Vol.4 No.3;;1985;Sinisalo, Johanna;Reaganin laatikko;;;;;;
Aikakone;3;;;1995;Sinisalo, Johanna;Spotlight;;;;;;
Aikakone;2;Vol.4 No.2;;1985;Sinisalo, Johanna;Suklaalaput;;;;;;
Aikakone;1;;;1993;Sinisalo, Johanna;Sydän kultaa;;;;;;
Aikakone;2;;;1987;Sinisalo, Johanna;Varhain aamulla siirtola 11:n portilla;;;;;;
Aikakone;4;Vol.3 No.4;;1984;Sirppi, Jaakko;Hyppäävä reportteri;;;;;;
Aikakone;4;;;1995;St.Orm, Roberto;"Näin syntyi Euripideen näytelmä ""Medeia""";;;;;;
Aikakone;2;;;1992;Surkka, Timo;Kaikki selviää ruumiinavauksessa;;;;;;
Aikakone;1;Vol.1 No.1;;1981;Särkijärvi, Jouni J.;Rottajahti;;;;;;
Aikakone;1;Vol.4 No.1;;1985;Särkijärvi, Jouni J.;Symppis;;;;;;
Aikakone;3;Vol.1 No.4;;1982;Taimi, Vesa;Uudiskeksintö;;;;;;
Aikakone;1;;;1993;Tallgren, Tapio;Mainoskatko;;;;;raapale;
Aikakone;4;;;1986;Tammi, Lumikki;Aikavartija;;;;;;
Aikakone;1;1-2/1994-95;;1995;Tamminen, Pirjo;Kirves;;;;;raapale;
Aikakone;4;;;1987;Tenhunen, Eeva-Liisa;Maailmanpolitiikan arkipäivää;;;;;;
Aikakone;2;;;1988;Tenhunen, Eeva-Liisa;Tuli sotka suora lintu;;;;;;
Aikakone;1;1-2/1994-95;;1995;Tenhunen, Eeva-Liisa;Ursa Amanda;;;;;;
Aikakone;3;;;1990;Tervonen, Ari;Heijastuksia;;;;;raapale;
Aikakone;3;;;1995;Tervonen, Ari;Liian lähellä Jupiteria;;;;;;
Aikakone;1;;;1990;Tervonen, Ari;Marsin kangastukset;;;;;;
Aikakone;2;;;1989;Tervonen, Ari;Matkalla nurin käännettyyn avaruuteen;;;;;;
Aikakone;3;Vol.2 No.3;;1983;Tervonen, Ari;Puuttuva rengas;;;;;;
Aikakone;1;;;1991;Tervonen, Ari;Syvä planeetta;;;;;;
Aikakone;1;;;1993;Tervonen, Ari;Terminaattori taivaanrannalla;;;;;;
Aikakone;2;;;1991;Tirkkonen, Olav;Pelastus jättiläismadonreikien riesalta;;;;;;
Aikakone;4;;;1989;Uimonen, Tommi;Taikuutta;;;;;raapale;
Aikakone;4;;;1991;Vain, Frank;Suuri cokis-sota;;;;;raapale;
Aikakone;3;;;1990;Varteva, Annukka;Tulevaisuus tähdissä?;;;;;raapale;
Aikakone;2;;;1991;Varteva, Annukka;Vihdoinkin!;;;;;raapale;
Aikakone;4;;;1991;Verronen, Maarit;Benji-hyppy;;;;;raapale;
Aikakone;1;;;1992;Verronen, Maarit;Freyrin maa, Ingolfin maa;;;;;;
Aikakone;3;;;1989;Verronen, Maarit;Teloitus;;;;;raapale;
Aikakone;3;;;1995;Virtanen, Pekka;Eräs tämän maailman viisauksista;;;;;raapale;
Aikakone;3;;;1989;Virtanen, Pekka;Hiiteen;;;;;;
Aikakone;4;;;1989;Virtanen, Pekka;Hämärtyvän kesäillan katoava ikävä;;;;;raapale;
Aikakone;2;;;1992;Virtanen, Pekka;Kopulatöörin liki toteutunut toive;;;;;raapale;
Aikakone;4;;;1991;Virtanen, Pekka;Liekkihenki Venuksesta;;;;;raapale;
Aikakone;1;;;1990;Virtanen, Pekka;Ojasta ojaan;;;;;;
Aikakone;1;;;1986;Virtanen, Pekka;Palkinto;;;;;;
Aikakone;3;;;1989;Virtanen, Pekka;Paratiisikuusikko;;;;;raapale;
Aikakone;4;;;1986;Virtanen, Pekka;Pehmeä vesi;;;;;;
Aikakone;3;Vol.3 No.3;;1984;Virtanen, Pekka;Perinne;;;;;;
Aikakone;3;;;1995;Virtanen, Pekka;Pieni mies;;;;;raapale;
Aikakone;1;;;1990;Virtanen, Pekka;Plagiaatti;;;;;raapale;
Aikakone;3;Vol.3 No.3;;1984;Virtanen, Pekka;Sadattuhannet vuodet;;;;;;
Aikakone;3;;;1987;Virtanen, Pekka;SHUO 9,5;;;;;;
Aikakone;1;Vol.4 No.1;;1985;Virtanen, Pekka;Varaosat;;;;;;
Aikakone;3;;;1990;Väisänen, Hannu;Cthulhun kutsu;;;;;raapale;
Aikakone;2;;;1992;Väisänen, Hannu;Mörön syötti;;;;;raapale;
