Lehti;Number;Number_extra;Count;Year;Tekijä;Artikkeli;Aihe;Viitteet
Portti;1;;;2018;Soikkeli, M.G.;Aaverakastajat valkokankaalla;Elokuvat;
Portti;1;;;1993;Salin, Petri;Blade Runner - The Director's Cut;Elokuvat;
Portti;1;;;1999;Salin, Petri;Kubrickin keskeneräiset;Elokuvat, Stanley Kubrick;
Portti;3;;;2016;Bengtsson, Niklas;Kuulen ääniä päässäni - Erikoistehosteyhtiön näkökulmia kirjallisuuskongressissa;Elokuvat;
Portti;3;;;2015;Soikkeli, M.G.;Mitä tieteiselokuvasta kannattaa lukea;Elokuvat;
Portti;1;;;1991;Härkönen, Esa & Viljanen, Ari;Mitä videolain jälkeen?;Elokuvat;
Portti;1;;;1992;Hietaharju, Aki;Päivä Universal-filmistudiolla;Elokuvat, Matkat ulkomailla;
Portti;1;;;1995;Salin, Petri;Stargate;Elokuvat;
Portti;3;;;2007;Widenius, Erkki;Science fiction on henkinen herätyskello;;Engholm, Ahrvid
Portti;4;;;2016;Iivonen, Jyrki;George Allan England - Kirjailija ja tutkimusmatkailija;;England, George Allan
Portti;2;;;2016;Koponen, Jari;Kansanvalistajan tieteisuutelo;;Eurén, Gustaf Erik
Portti;3;;;2019;Kanervisto, Olavi;Milk Bay Con;Fandom;
Portti;4;;;2003;Sirkiä, Pekka;"""Onko Suomessa hyvän science fictionin harrastajia?""";Fandom;
Portti;3;;;2009;Hirsjärvi, Irma;Suomalainen proto-fandom 1950-luvulla - Ensimmäiset fanit;Fandom;
Portti;4;;;1992;Leikola, Anto;Aarnikotka eli griippi;Fantasia, Mytologia;
Portti;4;;;1996;Leikola, Anto;Basiliski, käärmeiden kuningas;Fantasia, Mytologia;
Portti;4;;;1984;Peltonen, Leena;Ellei lohikäärmettä olisi se täytyisi keksiä;Fantasia, Lohikäärmeet;
Portti;3;;;2017;Bengtsson, Niklas;Erotiikkaa ja seksiä Tuhannen ja yhden yön tarinoissa;Fantasia, sadut;
Portti;3;;;2017;Erkki, Harri;Fantasiaa, fantasiaa, fantasiaa - aito scifi jo alan marginaalia;Fantasia;
Portti;2;;;2006;Hirsjärvi, Irma;Fantasiaa lukemassa - vastaanottotutkimus suomalaisista nuorista lukemassa Ursula K. Le Guinin novellia Kerastaasi;Fantasia, tutkimus;
Portti;1;;;2006;Erkki, Harri;"Fantasiaa, ""fantasiaa"" ja spefinpehmeitä tarinoita";Fantasia;
Portti;4;;;1994;Leikola, Anto;Hirviöiden suku - Harpyijat, Kerberos, Khimaira ja Hydra;Fantasia, Mytologia;
Portti;1;;;2010;Hurtta, Boris;Kaapparin lokikirjasta: Kaappari antaa ja ottaa;Fantasia;
Portti;3;;;2010;Hurtta, Boris;Kaapparin lokikirjasta: Kaappari lapsenvahtina;Fantasia, Sadut;
Portti;2;;;2008;Hurtta, Boris;Kaapparin lokikirjasta: Pakanahistoriallista ajanvietettä - Toinen osa: Vainovalkeita ja viikinkejä;Fantasia;
Portti;3;;;2008;Hurtta, Boris;Kaapparin lokikirjasta: Pakanahistoriallista ajanvietettä - Kolmas osa: Kupittaan lähteeltä Viipurin pamaukseen;Fantasia;
Portti;4;;;2008;Hurtta, Boris;Kaapparin lokikirjasta: Pakanahistoriallista ajanvietettä - Neljäs osa: Perma - Suomen heimon Atlantis;Fantasia;
Portti;2;;;2013;Hurtta, Boris;"Kaapparin lokikirjasta: Seitsemän seikkailujen ""kirjaa""";Fantasia;
Portti;4;;;2012;Hurtta, Boris;Kaapparin lokikirjasta: Tosikot ja veitikat;Fantasia;
Portti;4;;;2011;Hurtta, Boris;Kaapparin lokikirjasta: Vieraita miehiä tulee taloon;Fantasia;
Portti;3;;;1992;Salin, Petri;"""Ken kaiken näki""";Fantasia;
Portti;2;;;1993;Leikola, Anto;"Kentaurit, antiikin ""hevosihmiset""";Fantasia, Mytologia;
Portti;4;;;2006;Leppälahti, Merja;Kotimaista Tuonelamatkailua;Fantasia;
Portti;2;;;1999;Leikola, Anto;Lohikäärme, tulta syöksevä lentomato;Fantasia, Lohikäärmeet;
