Lehti;Number;Number_extra;Count;Year;Tekijä;Artikkeli;Aihe;Viitteet
Tähtivaeltaja;4;;;2017;Hiltunen, Petri & Virolainen, Nalle;Foliohatun alla: Mad Max - Fury Road;Elokuvat;
Tähtivaeltaja;2;;;2019;Hiltunen, Petri & Virolainen, Nalle;Foliohatun alla: Prometheus;Elokuvat;
Tähtivaeltaja;4;;;2019;Hiltunen, Petri & Virolainen, Nalle;Foliohatun alla: Star Wars;Elokuvat;
Tähtivaeltaja;1;;;2015;Hiltunen, Petri & Virolainen, Nalle;Foliohatun alla: The Lord of the Rings;Elokuvat;
Tähtivaeltaja;3;;;2020;Hiltunen, Petri & Virolainen, Nalle;Foliohatun alla: X-Men;Elokuvat;
Tähtivaeltaja;4;;;2009;Jerrman, Toni;Gabe Ibánez ja Hierro;Elokuvat;
Tähtivaeltaja;3;;;1998;Jerrman, Toni;Godzilla - takaa kulissien;Elokuvat;
Tähtivaeltaja;2;;;2002;Hiltunen, Petri;Hei me mainostetaan!;Elokuvat;
Tähtivaeltaja;1;;;2000;Hiltunen, Petri;Hercules - Miekka ja sandaali;Elokuvat;
Tähtivaeltaja;1;;;1992;Jerrman, Toni;Hong Kong - Fantasy/horror/action;Elokuvat;
Tähtivaeltaja;3;;;1998;Jerrman, Toni;Hong Kongin naistähdet - Hot babes in action!;Elokuvat;
Tähtivaeltaja;3;;;1997;Jerrman, Toni;Idän sankarit kansien välissä;Elokuvat;
Tähtivaeltaja;1;;;2000;Halme, Jukka;Isku avaruudesta - Starship Invasions;Elokuvat;
Tähtivaeltaja;4;;;1995;Jerrman, Toni;Jack Stevenson;Elokuvat;
Tähtivaeltaja;1;;;1997;Römpötti, Harri;Jackie Chan valtasi Rotterdamin festivaalin;Elokuvat;
Tähtivaeltaja;3;;;1995;Jerrman, Toni;Jezebel sulkee sinut sykkivään syliinsä;Elokuvat;
Tähtivaeltaja;3;;;1999;Manninen, Pekka A.;Jungle Blue;Elokuvat;
Tähtivaeltaja;3;;;1993;Hänninen, Harto;Jurakausi tulee - oletko valmis?;Elokuvat;
Tähtivaeltaja;4;;;2000;Vuorio, Valto;Karvat;Elokuvat;
Tähtivaeltaja;1;;;1999;Lehtinen, Lauri;Katujen kuningas;Elokuvat;
Tähtivaeltaja;3;;;2002;Jerrman, Toni;Kauhun valtakunta - Lost Empire;Elokuvat;
Tähtivaeltaja;2;;;2003;Halme, Jukka;Kersantti-'W'- nykyajan 'Mad Max';Elokuvat;
Tähtivaeltaja;4;;;1992;Hänninen, Harto;Kirkuvat kinkut - Scream Queens from B to Z;Elokuvat;
