Lehti;Number;Number_extra;Count;Year;Tekijä;Novelli;Alkup-novelli;Alkup-vuosi;Suomentaja;runo;raapale;filk
Legolas;;;23;2001;Salminen, Katja;Sofia Nimettömän kaksi kuolemaa;;;;;;
Legolas;;;28;2003;Salminen, Katja;The Two Deaths of Sofia of No Name;;;;;;
Legolas;;;32;2004;Salminen, Katja;Wila;;;;;;
Legolas;;;36;2005;Salonen, Hilma;Sadetta villakankaalla;;;;;;
Legolas;;;50;2012;Saloranta, Tuomas;Velhon torni;;;;;;
Legolas;;;23;2001;Santikko, Sauli;Kevätpäiväntasaus;;;;;;
Legolas;;;5;1992;Santikko, Sauli;Verenpunaisten jalokivien legenda;;;;;;
Legolas;;;27;2003;Sarvanko, Jouni;Ylemmät voimat;;;;;;
Legolas;;;37;2005;Soikkeli, M.G.;Piiritetyt;;;;;;
Legolas;;;26;2003;Sorva, Helena;Seuraava aamu;;;;;;
Legolas;;;5;1992;Streng, Anne;Sanojen keräilijä;;;;;;
Legolas;;;7;1993;Tirkkonen, Olav;Legolassie;;;;;;
Legolas;;;36;2005;Tirronen, Piia;Hopeatikkaat;;;;;;
Legolas;;;21;2000;Vinni, Pauli;Ryyni;;;;;;
Legolas;;;30;2004;Vinni, Päivi;Kerro, kerro kuvastin;;;;;;
Legolas;;;17;1998;Vinni, Päivi;Unikuningas;;;;;;
Legolas;;;37;2005;Väisänen, Hannu;Lalli ja piispa Henrik;;;;;;
Legolas;;;12;1995;Yli-Penttilä, Markku;Lohikäärmeen kertomus;;;;;;
