Lehti;Number;Number_extra;Count;Year;Tekijä;Artikkeli;Aihe;Viitteet
Finnzine;3;;;1993;Supinen, Pekka & Sirkiä, Pekka;Jurassic Park Tapes 31.8.1993;Elokuvat;
Finnzine;3;;;1995;Supinen, Pekka;Kirjailijan Kongo on elokuvaa uskottavampi;Elokuvat;
Finnzine;1;;;1995;Supinen, Pekka;Lipton Cockton in the Shadows of Sodoma;Elokuvat;
Finnzine;4;;;2002;Lappalainen, Markku;Lord of the Rings - The Two Towers;Elokuvat;
Finnzine;1;;;1997;Lappalainen, Markku;Mars hyökkää!;Elokuvat;
Finnzine;2;;;1999;Lappalainen, Markku;Matrix;Elokuvat;
Finnzine;2;;;2003;Lappalainen, Markku;Matrix Reloaded;Elokuvat;
Finnzine;4;;;2003;Lappalainen, Markku;Matrix Rovolutions;Elokuvat;
Finnzine;2;;;1997;Anonyymi;Men in Black - Miehet mustissa;Elokuvat;
Finnzine;2;;;2002;Lappalainen, Markku;Minority Report;Elokuvat;
Finnzine;1;;;2000;Lappalainen, Markku;Mission to Mars;Elokuvat;
Finnzine;2;;;1996;Niiranen, S.K.;Oh god, I hope they bring back Elvis;Elokuvat;
Finnzine;1;;;1996;Supinen, Pekka;Piuhat päässä ja välillä irti;Elokuvat;
Finnzine;1;;;1997;Lappalainen, Markku;Puuttuva tekijä - Fifth Element;Elokuvat;
Finnzine;3;;;2008;Lappalainen, Markku;Rakkautta, anarkiaa ja scifiä;Elokuvat;
Finnzine;2;;;1997;Lappalainen, Markku;Reliikki - The Relic;Elokuvat;
Finnzine;3;;;1995;Sirkiä, Pekka & Supinen, Pekka;Sandra Bullock netin pauloissa;Elokuvat;
Finnzine;1;;;1996;Soikkeli, M.G.;Scifikuvastoa ihanan rienaavasti;Elokuvat;
Finnzine;3;;;2002;Lappalainen, Markku;S1m0ne;Elokuvat;
Finnzine;4;;;1992;Heiskanen, Jussi-Ville;Sneakersit vihdoinkin Suomessa;Elokuvat;
Finnzine;1;;;1999;Salin, Petri;Shakespeare on Shakespeare on Shakespeare?;Elokuvat;
Finnzine;4;;;1998;Lappalainen, Markku;Stanley Kubrick 26.7.1928 - 7.3.1999;Elokuvat;
Finnzine;1;;;1995;Soikkeli, M.G.;Stargate;Elokuvat;
Finnzine;4;;;1997;Lappalainen, Markku;Starship Troopers;Elokuvat;
Finnzine;1;;;1996;Supinen, Pekka;Strange Days;Elokuvat;
Finnzine;1;;;2007;Lappalainen, Markku;Sunshine;Elokuvat;
Finnzine;1;;;2008;Miettinen & Sirkiä, Pekka & Lan..;Suuntia Kultaisesta kompassista;Elokuvat;
Finnzine;3;;;1995;Sirkiä, Pekka & Supinen, Pekka;Tank Girl: Thelma ja Louise teini-ikäisille;Elokuvat;
Finnzine;4;;;2003;Lappalainen, Markku;Taru Sormusten Herrasta: Kuninkaan paluu;Elokuvat;
Finnzine;3;;;2003;Lappalainen, Markku;Terminator 3 - Rise of the Machines;Elokuvat;
Finnzine;3;;;2000;Lappalainen, Markku;The Cell, Titan A.E. ja Space Cowboys;Elokuvat;
Finnzine;3;;;2006;Lappalainen, Markku;The Fountain;Elokuvat;
Finnzine;2;;;2008;Lappalainen, Markku;The Incredible Hulk;Elokuvat;
Finnzine;3;;;1997;Anonyymi;The Lost World: Jurassic Park;Elokuvat;
Finnzine;3;;;2001;Lappalainen, Markku;The Lord of the Rings;Elokuvat;
Finnzine;2;;;1998;Lappalainen, Markku;The Truman Show;Elokuvat;
Finnzine;2;;;2007;Lappalainen, Markku;Transformers;Elokuvat;
Finnzine;2;;;1996;Soikkeli, M.G.;Twister;Elokuvat;
Finnzine;1;;;1993;Hietala, Veijo;Uuden tieteiselokuvan ihmiskäsitys;Elokuvat;
Finnzine;1;;;2006;Lappalainen, Markku;V for Vendetta;Elokuvat;
Finnzine;4;;;2004;Lappalainen, Markku;Vuoden 2004 parhaat sf-elokuvat;Elokuvat;
Finnzine;4;;;2005;Lappalainen, Markku;Vuoden 2005 parhaat sf-elokuvat;Elokuvat;
Finnzine;4;;;2006;Lappalainen, Markku;Vuoden 2006 parhaat genre-elokuvat;Elokuvat;
Finnzine;4;;;2007;Lappalainen, Markku;Vuoden 2007 genremedian parhaat;Elokuvat;
Finnzine;4;;;2008;Lappalainen, Markku;Vuoden 2008 genremedian parhaat;Elokuvat;
Finnzine;2;;;2004;Lappalainen, Markku;Wonderful Days;Elokuvat;
Finnzine;1;;;2007;Anonyymi;Scifissä pitää olla juju;;Erkki, Harri
Finnzine;4;;;1999;Sirkiä, Pekka;Jyväskylän sf-seura vietti 10-vuotisjuhlia;Fandom, sf-seurat;
Finnzine;1;;;2003;Anonyymi;Onko Turusta tulossa scifin portaali: Euroopan fandom ryntää kesällä Suomeen;Fandom, sf-seurat;
Finnzine;3;;;2004;Karonen, Jarmo;Toimitustyön supersankarit - havaintoja Finnconista ja fandomin energiataloudesta;Fandom, Finncon;
Finnzine;1;;;2001;Sirkiä, Pekka & Supinen, Pekka;Turuus' kerran... ja viel' kerran;Fandom, sf-seurat;
Finnzine;1;;;2004;Korhonen, Tytti;Viitta tekee scifistin - scifistit tekivät viitan;Fandom, sf-seurat;
Finnzine;4;;;2004;Soikkeli, M.G.;Fantasia edelleen lajien välitilassa;Fantasia;
Finnzine;3;;;1997;Tapio, Juha K.;Hirviön tuhannet kasvot;Fantasia;
Finnzine;1;;;1998;Tapio, Juha K.;Hirviön tuhannet kasvot, osa 2;Fantasia;
Finnzine;2;;;2001;Halme, Jukka;Jukka Halme fantasioi;Fantasia;
Finnzine;4;;;1999;Salin, Petri;Miekka Neowulfin käteen;Fantasia;
Finnzine;4;;;1993;Sirkiä, Pekka;Taistelu aamunkoitteessa eli kohti fantasian ydintä;Fantasia;
Finnzine;4;;;1992;Kouta, J.;Yöllisiä kohtaamisia ja haikeita romansseja;Fantasia;
Finnzine;4;;;1996;Salin, Petri;Jokimaailman maestro;;Farmer, Philip José
Finnzine;2;;;1992;Anonyymi;Matkaan, vaeltaja!;;Farmer, Philip José
Finnzine;1;;;1996;Salin, Petri;Doyle Frostlandissa;;Frost, Mark
Finnzine;3;;;2000;Salin, Petri;Gaiman, Shakespeare ja melko suuri jättikurpitsa;;Gaiman, Neil
Finnzine;2;;;1998;Supinen, Pekka;I have nice fans!;;Gaiman, Neil
Finnzine;4;;;2002;Soikkeli, M.G.;Jumalat Ameriikan raitilla;;Gaiman, Neil
Finnzine;1;;;1995;Tirkkonen, Olav;Lo Rez Skyline - ilta William Gibsonin seurassa;;Gibson, William
Finnzine;2;;;2008;Oikarinen, Antti;Harrison tietää scifin hienoudet;;Harrison, M(ichael) John
Finnzine;3;;;1994;Sirkiä, Pekka;Rick Hautala kävi Suomessa;;Hautala, Rick
Finnzine;3;;;1994;Hurtta, Boris;Tunnen tuon miehen;;Hautala, Rick
