Lehti;Number;Number_extra;Count;Year;Tekijä;Novelli;Alkup-novelli;Alkup-vuosi;Suomentaja;runo;raapale;filk
Usva;2;;;2012;Sipiläinen, Tarja;Ärhäkkä ahven lavuaarissa;;;;;;
Usva;4;;;2007;Soikkeli, M.G.;Jumala, jumala, näytä sarves';;;;;;
Usva;4;;;2012;Sokura, Nadja;Anna minulle kipusi;;;;;;
Usva;2;;;2016;Sokura, Nadja;Eksyneiden asema;;;;;;
Usva;4;;;2008;Suhonen, Raili;Konrad;;;;;;
Usva;1;;;2014;Suntila, Shimo;Bibliofiili ja Pahanukke;;;;;;
Usva;1;;;2015;Suntila, Shimo;Bibliofiili ja Suurkollektööri;;;;;;
Usva;1;;;2013;Suntila, Shimo;Perintöesine;;;;;;
Usva;3;;;2012;Suntila, Shimo;Sateenkaaren maku;;;;;;
Usva;1;;;2013;Suntila, Shimo;Tomua;;;;;;
Usva;2;;;2006;Supinen, Miina;Miten se ihmisen tappaa;;;;;;
Usva;1;;;2010;Surkka, Timo;Lihan kaava;;;;;;
Usva;3;;;2009;Tarkiainen, Terhi;Ikiäinen;;;;;;
Usva;2;;;2010;Tarkiainen, Terhi;Kerrospaha;;;;;;
Usva;1;;;2010;Teerialho, Taina;Albiinojen aika;;;;;;
Usva;1;;;2016;Thorel, Christine;Ehkä meidät pelastettiin;;;;;;
Usva;2;;;2008;Thorel, Christine;Pyryharakka;;;;;;
Usva;1;;;2012;Thorel, Christine;Sydänmetsä;;;;;;
Usva;2;;;2009;Tiitta, Maija;Jankulit;;;;;;
Usva;3;;;2007;Tirronen, Piia;Karuselli;;;;;;
Usva;3;;;2008;Tirronen, Piia;Kivien koulu;;;;;;
Usva;3;;;2007;Torvinen, Jani;Poika;;;;;;
Usva;3;;;2007;Torvinen, Jani;Unenkantaja;;;;;;
Usva;1;;;2006;Tossavainen, Kari;Kasvualusta;;;;;;
Usva;2;;;2012;Tossavainen, Kari;Suusta suuhun varhaisesta maisemasta;;;;;;
