creator_str,title,misc,imported_string
"Dalby, Richard (toim.)","Kuollut koskettaa keveästi","Koonnut ja suomentanut Conranicin työryhmä.","
<a href=""novkok/dal-kk.htm"">
<b>Kuollut koskettaa keveästi</b></a>. Koonnut ja suomentanut Conranicin työryhmä. Book Studio -kirjat. Conranic 2011. [K,kok]."
"Datlow, Ellen (Sue) (toim.)","Aavistus verta",&,"
<a href=""novkok/dat-av.htm"">
<b>Aavistus verta</b></a>. (A Whisper of Blood, 1991). Suom Ilkka Äärelä & Ulla 
Selkälä. FAN-sarja. WSOY 1993. [K,kok]."
"Datlow, Ellen (Sue) (toim.)","Ei vain verestä",&,"

<a href=""novkok/dat-ev.htm"">
<b>Ei vain verestä</b></a>. (Blood Is Not Enough, 1989). Suom Ulla Selkälä & 
Ilkka Äärelä. Runot suom Jussi Rekinen. Kauhusarja 9. Kustannus Oy Jalava 1990. [K,kok]."
"Datlow, Ellen (Sue) (toim.)","Ensimmäinen kerta",&,"

<a href=""novkok/dat-ek.htm"">
<b>Ensimmäinen kerta</b></a>. (Alien Sex, 1990). Suom Sari Kallioinen & Anita 
Puumalainen. SciFi-sarja 20. Kustannus Oy Jalava 1991. [SF,kok]."
"Davys, Tim (salanimi)","Amberville - Paluu alamaailmaan",". (Amberville, )  2009.","
<b>Amberville - Paluu alamaailmaan</b>. (Amberville, 2007) Suom Katriina Huttunen. Tammi 2009. [F]."
"del Toro, Guillermo & Hogan, Chuck",Lankeemus,". Toinen kirja.","
<b>Lankeemus</b>. Toinen kirja. (The Fall, 2010). Suom Risto Raitio. Tammi 2011. [K]."
"del Toro, Guillermo & Hogan, Chuck",Vitsaus,". Ensimmäinen kirja.","

<b>Vitsaus</b>. Ensimmäinen kirja. (The Strain, 2009). Suom Risto Raitio. Tammi 2010. [K]."
"del Toro, Guillermo & Hogan, Chuck","Yö ikuinen",". Kolmas kirja.","

<b>Yö ikuinen</b>. Kolmas kirja. (The Night Eternal, 2011). Suom Risto Raitio. Tammi 2012. [K]."
"DeMatteis, J(ohn) M(arc)","Matka käsittämättömään",". Kuvittanut Mike Ploog.","
<b>Matka käsittämättömään</b>. Abadazad 1. (The Road to Inconceivable, 2006). Kuvittanut Mike Ploog. Suom Inka Parpola. Sanoma Magazines Finland 2006. [nF]."
"DeMatteis, J(ohn) M(arc)","Professori Jääräpää",". Kuvittanut Mike Ploog.","

<b>Professori Jääräpää</b>. Abadazad 3. (The Puppet, the Professor and the Prophet, 2007). Kuvittanut Mike Ploog. Suom Inka Parpola. Sanoma Magazines Finland 2007. [nF]."
"DeMatteis, J(ohn) M(arc)",Univaras,". Kuvittanut Mike Ploog.","

<b>Univaras</b>. Abadazad 2. (Thief of Dreams, 2006). Kuvittanut Mike Ploog. Suom Inka Parpola. Sanoma Magazines Finland 2006. [nF]."
"DiCamillo, Kate (Katrina Elizabeth)","Desperon taru",". Kertomus hiirestä, prinsessasta, keitosta ja lankarullasta..","
<b>Desperon taru</b>. Kertomus hiirestä, prinsessasta, keitosta ja lankarullasta. (The Tale of Despereaux: Being the Story of a Mouse, a Princess, Some Soup and a Spool of Thread, 2003). Suom Pirkko Biström. Otava 2009 [nF]."
"Dick, Philip K(indred)","Mahdoton planeetta",&,"

<a href=""novkok/dic-mp.htm"">
<b>Mahdoton planeetta</b></a>. Suom & toim Kristiina Drews. Sci-fi -sarja. WSOY 1990. [SF,kok]."
