creator_str,title,misc,imported_string
"Lewis, Matthew G(regory)",Munkki,".  Jälkisanat Päivi Mehtonen.","
<b>Munkki</b>. (The Monk, 1796). Suom Mika Rassi. Jälkisanat Päivi Mehtonen. Savukeitaan kauhuklassikot 5. Kustannusosakeyhtiö Savukeidas 2015. [K]."
"Lieto, Ilmo","Mars-tähden kävijät",". Kirja","
<b>Mars-tähden kävijät</b>. Kirja 1930. [SF]."
"Lin, Lucilla","Mahdollisuuksien maailma",". Kuoriaisvihkot: KV006.","

<b>Mahdollisuuksien maailma</b>. Kuoriaisvihkot: KV006. Kuoriaiskirjat 2019. [SF]."
"Lovecraft, H(oward) P(hillips)","Alkemisti ja muita kertomuksia",&,"
<a href=""novkok/lov-al.htm"">
<b>Alkemisti ja muita kertomuksia</b></a>. Toim Markku Sadelehto. Suom Ulla 
Selkälä & Ilkka Äärelä. Kustannus Oy Jalava 1994. [K,kok]."
"Lovecraft, H(oward) P(hillips)","Hautakummun salaisuus ja muita kertomuksia ja kirjoituksia",&,"

<a href=""novkok/lov-kt6.htm"">
<b>Hautakummun salaisuus ja muita kertomuksia ja kirjoituksia</b></a>. H.P. Lovecraftin kootut teokset 6. 
Suom Matti Rosvall & Ilkka Äärelä. Kustannus Oy Jalava 2014. [K,kok]."
"Lovecraft, H(oward) P(hillips)","Hautausmaan kauhu ja muita kertomuksia",",  &","

<a href=""novkok/lov-kt4.htm"">
<b>Hautausmaan kauhu ja muita kertomuksia</b></a>. H.P. Lovecraftin kootut teokset 4. 
Suom Ilkka Äärelä, Matti Rosvall, Sari Kallioinen & Anita Puumalainen. Kustannus Oy Jalava 2012. [K,kok]."
"Lovecraft, H(oward) P(hillips)","Kuiskaus pimeässä",&,"

<a href=""novkok/lov-kp.htm"">
<b>Kuiskaus pimeässä</b></a>. Suom Ulla Selkälä & Ilkka Äärelä. Kauhusarja 4. Kustannus Oy Jalava 1989. [K,kok]."
"Lovecraft, H(oward) P(hillips)","Kuiskaus pimeässä ja muita kertomuksia",&,"

<a href=""novkok/lov-kt1.htm"">
<b>Kuiskaus pimeässä ja muita kertomuksia</b></a>. H.P. Lovecraftin kootut teokset 1. Suom Ulla Selkälä & Ilkka Äärelä. 
Kustannus Oy Jalava 2009. [K,kok]."
"Lovecraft, H(oward) P(hillips)","Nimetön kaupunki",&,"

<a href=""novkok/lov-nk.htm"">
<b>Nimetön kaupunki</b></a>. Suom Ulla Selkälä & Ilkka Äärelä. Kauhusarja 12. Kustannus Oy Jalava 1991. [K,kok]."
"Lovecraft, H(oward) P(hillips)","Siivekäs kuolema ja muita kertomuksia",&,"

<a href=""novkok/lov-kt5.htm"">
<b>Siivekäs kuolema ja muita kertomuksia</b></a>. H.P. Lovecraftin kootut teokset 5. 
Suom Matti Rosvall & Ilkka Äärelä. Kustannus Oy Jalava 2013. [K,kok]."
"Lovecraft, H(oward) P(hillips)","Unennäkijän muistikirja - H.P. Lovecraftin kirjoituksia","Käännökset, esipuhe, viitteet ja muu toimituksellinen aineisto Juha-Matti Rajala.","

<a href=""novkok/lov-um.htm"">
<b>Unennäkijän muistikirja - H.P. Lovecraftin kirjoituksia</b></a>. Käännökset, esipuhe, viitteet ja muu 
toimituksellinen aineisto Juha-Matti Rajala. Vaskikirjat 2014. [eiSF,kok]."
"Lovecraft, H(oward) P(hillips)","Vaaniva pelko ja muita kertomuksia",&,"

<a href=""novkok/lov-kt3.htm"">
<b>Vaaniva pelko ja muita kertomuksia</b></a>. H.P. Lovecraftin kootut teokset 3. Suom Ulla Selkälä & Ilkka Äärelä. Kustannus Oy Jalava 2011. [K,kok]."
"Lovecraft, H(oward) P(hillips)","Vaeltaja unien portilla","Toim Markku Sadelehto..","

<a href=""novkok/lov-vu.htm"">
<b>Vaeltaja unien portilla</b></a>. Toim Markku Sadelehto. Suom Matti Rosvall. Tampereen Science Fiction Seura 1997. [K,kok]."
"Lovecraft, H(oward) P(hillips)","Varjo menneisyydestä ja muita kertomuksia",&,"

<a href=""novkok/lov-kt2.htm"">
<b>Varjo menneisyydestä ja muita kertomuksia</b></a>. H.P. Lovecraftin kootut teokset 2. Suom Ulla Selkälä & Ilkka Äärelä. Kustannus Oy Jalava 2010. [K,kok]."
"Lovecraft, H(oward) P(hillips)","Yliluonnollinen kauhu kirjallisuudessa",".entanut ja esipuheen sekä huomautukset laatinut Juri Nummelin.","

<b>Yliluonnollinen kauhu kirjallisuudessa</b>. (Supernatural Horror in Literature, 1927). Suomentanut ja esipuheen sekä huomautukset laatinut Juri Nummelin. Savukeidas 2013. [eiSF]."
"Lucas, George","Tähtien sota",". (oik. kirjoittanut Alan Dean Foster).","
<b>Tähtien sota</b>. (Star Wars - from the Adventures of Luke Skywalker, 1976). 
(oik. kirjoittanut Alan Dean Foster). Suom Risto Mäenpää. WSOY 1977. [SF]."
"Lunde, Maja",Lumisisko,".  Kuvitus Lisa Aisato.","
<b>Lumisisko</b>. (Snøsøsteren, 2018). Suom Katriina Huttunen. Kuvitus Lisa Aisato. S&S 2019. [nF]."
"Lynch, Scott","Locke Lamoran valheet",". Herrasmiesroistojen ensimmäinen tarina. (The Lies of Locke Lamora, ) 2007.","
<b>Locke Lamoran valheet</b>. Herrasmiesroistojen ensimmäinen tarina. (The Lies of Locke Lamora, 2006) WSOY 2007. [F]."
"Eddings, David (Carroll) & Eddings, Leigh","Rivan aikakirjat",". Belgarionin ja jen vanhat käsikirjoitukset.","

<b>Rivan aikakirjat</b>. Belgarionin ja Mallorean tarujen vanhat käsikirjoitukset. (The Rivan Codex. Ancient texts of the Belgariad and the Malloreon, 1998). Suom Tarmo Haarala. Karisto Oy 1999. [F]."
"Erkki, Harri","Pitkä jauntti","Kertomuksia -2007. -sarja 4. 2007.","

<a href=""novkok/erk-pj.htm"">
<b>Pitkä jauntti</b></a>. Kertomuksia 1967-2007. M-novellit scifi -sarja 4. Turbator 2007. [SF,kok]."
"Erlandsson, Karin",Helmenkalastaja,". Kuvittanut Tuuli Toivola.","
<b>Helmenkalastaja</b>. Taru Silmäterästä 1. (Pärlfiskaren, 2017). Kuvittanut Tuuli Toivola. Suom Tuula Kojo. S&S 2018. [nF]."
"Erskine, Barbara","Keskiyö on yksinäinen paikka",". ja","

<b>Keskiyö on yksinäinen paikka</b>. (Midnight Is a Lonely Place, 1993). Suom Sari Kallioinen ja Anita Puumalainen. WSOY 1994. [F]."
"Eräs, Antti","Kaukokuvastin eli Jooseppi Puustisen ihmeellinen seikkailu","Näytelmä. . Näytelmä.","
<b>Kaukokuvastin eli Jooseppi Puustisen ihmeellinen seikkailu</b>. Näytelmä. WSOY 1931. [SF]."
"Farmer, Philip José","Lordi Tyger",". ja","

<b>Lordi Tyger</b>. (Lord Tyger, 1970). Suom Sari Kallioinen ja Anita Puumalainen. FAN-sarja. WSOY 1993. [F]."
"Findley, Timothy","Suuri tulva",".  Runot suom Alice Martin.","

<b>Suuri tulva</b>. (Not Wanted on the Voyage, 1984). Suom Hanno Vammelvuo. Runot suom Alice Martin. Gummerus 1986. [F]."
"Fortune, Dion","Tohtori Tavernerin salaisuudet",".en kirja","
<b>Tohtori Tavernerin salaisuudet</b>. (The Secrets of Dr. Taverner, 1926). Suomen kirja 1945. [F,kok]."
"Foster, Alan Dean","Myrskyn merkit",". ja","

<b>Myrskyn merkit</b>. Star Wars -sarja. (The Approaching Storm, 2002). Suom
(Juha) Tapani Bagge ja Ilkka Äärelä. WSOY 2002. [SF]."
"France, Anatole","Aadamin ensimmäisen vaimon tytär","Kertomuksia yliluonnollisista aiheista.","
<a href=""novkok/fra-ae.htm"">
<b>Aadamin ensimmäisen vaimon tytär</b></a>. Kertomuksia yliluonnollisista aiheista. Suom Uuno Kailas. Kansanvalta 1926. [F,kok 3/5]."
"Gabaldon, Diana",Tulivana,"Neljä Matkantekijä-kertomusta.","

<a href=""novkok/gab-nm.htm"">
<b>Tulivana</b></a>. Neljä Matkantekijä-kertomusta. (A Trail of Fire. Four Outlander Tales, 2012). Suom Anuirmeli Sallamo-Lavi. Gummerus 2013. [F,kok]."
"Gail, Otto Willi","Hans Hardtin matka kuuhun",".. Kirja","
<b>Hans Hardtin matka kuuhun</b>. (Hans Hardts Mondfahrt, 1928). Suom Lauri A. Hirvensalo. Kirja 1928. [nSF]."
"Gaiman, Neil (Richard)","Onneksi oli maitoa",". Kuvittanut Chris Riddell.","

<b>Onneksi oli maitoa</b>. (Fortunately, the Milk..., 2013). Kuvittanut Chris Riddell. Suom Tuomas Nevanlinna. Jalava 2017. [nF]."
"Gelb, Jeff (toim.)","Rock on rajaton kauhu",&,"
<a href=""novkok/gel-ro.htm"">
<b>Rock on rajaton kauhu</b></a>. (Shock Rock, 1992). Suom Ulla Selkälä & Ilkka Äärelä. FAN-sarja. WSOY 1993. [K,kok]."
"Goethe, Johann Wolfgang von",Faust,". Murhenäytelmä, 1. osa.  Runotar. Neron tuotteita maailman kirjallisuudesta 2.","
<b>Faust</b>. Murhenäytelmä, 1. osa. (Faust I, 1808). Suom Kaarlo Forsman. 
Runotar. Neron tuotteita maailman kirjallisuudesta 2. G.L. Söderström 1884. [F]."
"Gogol, Nikolai","Demonien ruhtinatar",".  Kirja","
<b>Demonien ruhtinatar</b>. (Vii, 1835). Suom K. Repo. 50 p:n kirjasto 3. Kirja 1914. [K]."
"Gogol, Nikolai","Nenä",".   n:o 6.","

<b>Nenä</b>. (Nos, 1836). Suom Matti Kurikka. Helppohintainen novelli- ja romaanijakso 2 n:o 6. K.E. Holm 1883. [F]."
"Grahame, Kenneth","Kaislikossa suhisee",".  Kuvittanut Ernest H. Shepard.","
<b>Kaislikossa suhisee</b>. (The Wind in the Willows, 1908). Suom Eila 
Piispanen. Kuvittanut Ernest H. Shepard. WSOY 1949. [nF]."
"Granit, Rainer (salanimi)","Lähtölasku 47",". Oy","
<b>Lähtölasku 47</b>. Tiebreak Oy 2008. [SF]."
"Grant, Joan","Auringonjumalan paluu",".  Oyen Kirja","
<b>Auringonjumalan paluu</b>. (Eyes of Horus, 1942). Suom Jorma Partanen. Oy Suomen Kirja 1944. [F]."
"Grant, Joan",Carola,".  Oyen Kirja","

<b>Carola</b>. (Life as Carola, 1939). Suom Jorma Partanen. Oy Suomen Kirja 1942. [F]."
"Grant, Joan","Päivännousun valtias",".  Oyen Kirja","

<b>Päivännousun valtias</b>. (Lord of the Horizon, 1943). Suom Jorma Partanen. Oy Suomen Kirja 1945. [F]."
"Grant, Joan","Siivekäs faarao",".  Oyen Kirja","

<b>Siivekäs faarao</b>. (Winged Pharaoh, 1937). Suom Jorma Partanen. Oy Suomen Kirja 1940. [F]."
"Grey, Jacob",Varismiekka,". (The Crow Talker (Iso-Britanniassa) / Ferals (Yhdysvalloissa), ).","

<b>Varismiekka</b>. Kraa-trilogia 1. (The Crow Talker (Iso-Britanniassa) / Ferals (Yhdysvalloissa), 2015). Suom Kaisa Kattelus. Tammi 2015. [nF]."
"Gripe, Maria (Kristiina)","Lasinpuhaltajan lapset",". Kuvitus Harald Gripe..","

<b>Lasinpuhaltajan lapset</b>. (Glasblåsarnas barn, 1964). Kuvitus Harald Gripe. Suom Eila Kivikk'aho. Leija-sarja. Tammi 1972. [nF]."
"Gripenberg, Bertel","Uni kansantahdosta",.-va.,"
<b>Uni kansantahdosta</b>. (En dröm om folkviljan, 1908). Suom -va. Suomalainen puolue 1908. [SF]."
"Haggard, Sir Henry Rider","Israelin kuu",". Kirja","
<b>Israelin kuu</b>. (Moon of Israel: A Tale of the Exodus, 1918). Parhaita nuorison kirjoja -sarja. Kirja 1919. [F]."
"Haggard, Sir Henry Rider","Kuolematon kuningatar",".  Kirja","

<b>Kuolematon kuningatar</b>. (She, 1887). Suom O.E. Nyman. Parhaita nuorison kirjoja -sarja. Kirja 1922. [F]."
"Haggard, Sir Henry Rider","Musta sankari",". (Nada the Lily, , (1.osa)).  Kirja 1922.","

<b>Musta sankari</b>. (Nada the Lily, 1891, (1.osa)). Suom O.E. Nyman. Parhaita nuorison kirjoja -sarja. Kirja 1922. [F]."
"Haggard, Sir Henry Rider","Pyhä kukka",".  Kirja","

<b>Pyhä kukka</b>. (The Holy Flower, 1915). Suom O.E. Nyman. Parhaita nuorison kirjoja -sarja. Kirja 1923. [F]."
"Haggard, Sir Henry Rider","Salattu maa",".  Kirja","

<b>Salattu maa</b>. (Allan Quatermain, 1887). Suom O.E. Nyman. Parhaita nuorison kirjoja -sarja. Kirja 1923. [F]."
"Haggard, Sir Henry Rider",Susiveikot,". (Nada the Lily, , (2.osa)).  Kirja 1922.","

<b>Susiveikot</b>. (Nada the Lily, 1892, (2.osa)). Suom O.E. Nyman. Parhaita nuorison kirjoja -sarja. Kirja 1922. [F]."
"Haggard, Sir Henry Rider","Valkoinen metsästäjä",". Kirja","

<b>Valkoinen metsästäjä</b>. (Allan's Wife, 1889). Parhaita nuorison kirjoja -sarja. Kirja 1922. [F,rajatap]."
"Haggard, Sir Henry Rider","Valkoinen metsästäjä ja kuolematon kuningatar",". Kirja","

<b>Valkoinen metsästäjä ja kuolematon kuningatar</b>. (She and Allan, 1921). Parhaita nuorison kirjoja -sarja. Kirja 1922. [F]."
"Hahl, M(oses)","Tumma täplä. Yli-ihminen ja ali-ihminen",". Näytelmä 3:ssa näytöksessä. (Port Arthur, Ontario)","
<b>Tumma täplä. Yli-ihminen ja ali-ihminen</b>. Näytelmä 3:ssa näytöksessä. Työkansan kirjapaino (Port Arthur, Ontario) 1912. [SF,rajatap]."
"Hai, Magdalena","Kurnivamahainen kissa",". Kuvitus Teemu Juhani.","

<b>Kurnivamahainen kissa</b>. Kuvitus Teemu Juhani. Karisto 2017. [satu]."
"Hai, Magdalena","Painajaispuoti - Hampaat hukassa",". Kuvitus Teemu Juhani.","

<b>Painajaispuoti - Hampaat hukassa</b>. Kuvitus Teemu Juhani. Lukupalat-sarja. WSOY 2019. [nF]."
"Hai, Magdalena","Painajaispuoti ja kamala kutituspulveri",". Kuvitus Teemu Juhani.","

<b>Painajaispuoti ja kamala kutituspulveri</b>. Kuvitus Teemu Juhani. Lukupalat-sarja. WSOY 2018. [nF]."
"Haining, Peter (toim.)","Murha à la Carte",".Kari Salminen (1.osa), Marja Sinkkonen (2.osa) & Sirkka-Liisa Sjöblum (3.osa).","
<b>Murha à la Carte</b>. (Murder on the Menu, 1991). Suom Kari Salminen (1.osa), 
Marja Sinkkonen (2.osa) & Sirkka-Liisa Sjöblum (3.osa). Book Studio Oy 1996. [K,kok 8/27]."
"Hakulinen, Arja (toim.)","Pitkän talven tarina",". Kirjoittaneet: Arttu Knutsson, Jenna Korpi, Sonja Karosvuo, Petra Riihimäki, Severi Kuoppala, Sami Niemi, Joonas Jokinen, Atte Heino ja Eemil Vuornos.","

<b>Pitkän talven tarina</b>. Koululaiset kirjoittavat koululaisille 1.
Kirjoittaneet: Arttu Knutsson, Jenna Korpi, Sonja Karosvuo, Petra Riihimäki, Severi Kuoppala,
Sami Niemi, Joonas Jokinen, Atte Heino ja Eemil Vuornos. Absurdia / Literis et Artibus Oy 2013. [SF]."
"Halme, Jukka (toim.)",Uuskummaa?,"Modernin fantasian antologia.","
<a href=""novkok/hal-uk.htm"">
<b>Uuskummaa?</b></a>. Modernin fantasian antologia. Suom Kristiina Drews, Johanna Vainikainen-Uusitalo, Satu Hlinovsky ja Jukka Halme. Kustannusosakeyhtiö Kirjava 2006. [F,kok]."
"Hansen, Erik","Kiinan pyhä helmi",".  Kirja","

<b>Kiinan pyhä helmi</b>. (Den sorte perle, 1912). Suom K.V. Nyman. Kirja 1918. [nF]."
"Harrison, Harry (Maxwell) & Stover, Leon E(ugene)","Stonehenge - Atlantiksen tuho",". (Stonehenge: Where Atlantis Died, , (1.laitos 1972)).  1993.","
<b>Stonehenge - Atlantiksen tuho</b>. (Stonehenge: Where Atlantis Died, 1983, 
(1.laitos 1972)). Suom Marja Sinkkonen. FAN-sarja. WSOY 1993. [F]."
"Hautala, Rick (/Richard Andrew)",Haamu,". &","
<b>Haamu</b>. (Cold Whisper, 1991). Suom Ulla Selkälä & Ilkka Äärelä. WSOY 1994. [K]."
"Hautala, Rick (/Richard Andrew)","Kuoleman kivi",". &","

<b>Kuoleman kivi</b>. (Night Stone, 1986). Suom Ulla Selkälä & Ilkka Äärelä. WSOY 1995. [K]."
"Hearn, (Patrick) Lafcadio (Tessima Carlos)","Intohimon karma","Japanin kummitustarinoita.","
<a href=""novkok/hea-ik.htm"">
<b>Intohimon karma</b></a>. Japanin kummitustarinoita. Toim ja suom Juhani Lompolo. Orienta 2003. [F,kok]."
"Hegarty, Shane","Kalmankita: Legenda alkaa",". Kuvitus James de la Rue.","
<b>Kalmankita: Legenda alkaa</b>. (Darkmouth: The Legends Begin, 2015). Kuvitus James de la Rue. Suom Hilla Hautajoki. Bazar 2016. [nF]."
"Heikkilä, Mervi","Jaan ja Jäähammas",". Jaan 1.","
<b>Jaan ja Jäähammas</b>. Jaan 1. Karisto 2019. [nF]."
"Heinlein, Robert A(nson)","Maan hylkäämät",". Toim.","

<b>Maan hylkäämät</b>. (Methuselah's Children, 1958). Science Fiction -sarja 3. Toim. E. Leikoski. Nykylehdet Oy 1980. [SF]."
"Heinlein, Robert A(nson)","Panoksena tulevaisuus",".. Esipuhe Jari Koponen.","

<b>Panoksena tulevaisuus</b>. (Double Star, 1956). Suom Veikko Rekunen. Esipuhe Jari Koponen. Ursan sf-sarja 1. Ursa 1980. [SF]."
"Helttunen, Anne & Uusi-Hallila, Tuula (toim.)","Majatalo ja muita kauhutarinoita",", Sirkka-Liisa Sjöblom, Jari Niittylä, Kari Nenonen, Jorma-Veikko Sappinen, Paavo Lehtonen ja Janne Staffans.","
<a href=""novkok/hel-ma.htm"">
<b>Majatalo ja muita kauhutarinoita</b></a>. Suom Sari Kallioinen, Anita 
Puumalainen, Matti Rosvall, Sirkka-Liisa Sjöblom, Jari Niittylä, Kari Nenonen, 
Ulla Selkälä, Ilkka Äärelä, Jorma-Veikko Sappinen, Paavo Lehtonen ja Janne Staffans. WSOY 2000. [K,F,kok]."
"Hesse, Hermann",Lasihelmipeli,".  Runot suom Elvi Sinervo.","

<b>Lasihelmipeli</b>. (Das Glasperlenspiel, 1943). Suom Kai Kaila. Runot suom Elvi Sinervo. Arena-sarja. Kirjayhtymä 1972. [SF]."
"Hill, Stuart",Tulimiekka,". ja","

<b>Tulimiekka</b>. Jäämaan kronikka 2. (Blade of Fire, 2006). Suom Ilkka Äärelä ja Pirkko Biström. WSOY 2007. [nF]."
"Hitchcock, Alfred (toim.)","Hirttäjän tusina",&,"

<a href=""novkok/hit-ht.htm"">
<b>Hirttäjän tusina</b></a>. (Alfred Hitchcock Presents: A Hangman's Dozen, 1962). 
Suom Vankka Vankkoja & Väinö J. Tervaskari. Kurki-sarja 27. Tammi 1964. [K,kok 4/17]."
"Hitchcock, Alfred (toim.)","Hitchcock esittää",". &  &  &  &  &","

<b>Hitchcock esittää</b>. (Alfred Hitchcock Presents: My Favourites in Suspence, 
1959). Suom Pauli A. Kopperi & Jouko Linturi & Eija Palsbo & M. Rutanen & A. Tiusanen & Vankka Vankkoja. Omnibus-sarja. Tammi 1964. [K,kok 7/18]."
"Hoffmann, E(rnst) T(heodor) A(madeus)","Kissa Murr",".  Oyen Kirja","
<b>Kissa Murr</b>. (Lebensansichten des Katerns Murr, 1820-22). Suom Teijo Havu. Oy Suomen Kirja 1946. [F]."
"Howard, Linda","Hetki lyö",". (Killing Time, )  2007.","
<b>Hetki lyö</b>. (Killing Time, 2005) Suom Anu Niroma. WSOY 2007. [SF]."
"Howard, Robert E(rvin)","Conan Cimmerialainen","Koonnut ja kuvittanut Petri Hiltunen.","

<a href=""novkok/how-cc.htm"">
<b>Conan Cimmerialainen</b></a>. Koonnut ja kuvittanut Petri Hiltunen. Suom 
Leena Peltonen. Kustannus Oy Jalava 1991. [F,kok]."
"Howard, Robert E(rvin)","Conan ja demonit",&,"

<a href=""novkok/how-cd.htm"">
<b>Conan ja demonit</b></a>. Toim Markku Sadelehto. Suom Ulla Selkälä & Ilkka 
Äärelä. Jalavan Fantasiasarja 1. Kustannus Oy Jalava 1990. [F,kok]."
"Howard, Robert E(rvin)","Conan taistelija",&,"

<a href=""novkok/how-ct.htm"">
<b>Conan taistelija</b></a>. Toim Markku Sadelehto. Suom Ulla Selkälä & Ilkka 
Äärelä. Jalavan Fantasiasarja 2. Kustannus Oy Jalava 1990. [F,kok]."
"Howard, Robert E(rvin)","Kadotuksen kuilu","Toim Markku Sadelehto..","

<a href=""novkok/how-kk.htm"">
<b>Kadotuksen kuilu</b></a>. Toim Markku Sadelehto. Suom Ulla Selkälä. FAN-sarja. WSOY 1993. [F,kok]."
"Howard, Robert E(rvin)","Mustan rannikon kuningatar ja muita Conan-kertomuksia",&,"

<a href=""novkok/how-mr.htm"">
<b>Mustan rannikon kuningatar ja muita Conan-kertomuksia</b></a>. Toim Markku Sadelehto. Suom Ulla Selkälä & Ilkka Äärelä. Kustannus Jalava 2010. [F,kok]."
"Howard, Robert E(rvin)","Yön kuninkaat",&,"

<a href=""novkok/how-yk.htm"">
<b>Yön kuninkaat</b></a>. Toim Markku Sadelehto. Suom Ulla Selkälä & Ilkka Äärelä. FAN-sarja. WSOY 1992. [F,kok]."
"Howard, Robert E(rvin)","Zambebwein kuu","Toim Markku Sadelehto..","

<a href=""novkok/how-zk.htm"">
<b>Zambebwein kuu</b></a>. Toim Markku Sadelehto. Suom Matti Rosvall. Portti kirjat. Tampereen Science Fiction Seura 2010. [F,kok]."
"Howey, Hugh",Hiekka,". (Sand, -2014)  2016.","
<b>Hiekka</b>. (Sand, 2013-2014) Suom Einari Aaltonen. Like 2016. [SF]."
"Howey, Hugh",Kohtalo,". (Dust, )  2015.","

<b>Kohtalo</b>. (Dust, 2013) Suom Einari Aaltonen. Like 2015. [SF]."
"Howey, Hugh",Siilo,". (Wool Omnibus, )  2013.","

<b>Siilo</b>. (Wool Omnibus, 2012) Suom Einari Aaltonen. Like 2013. [SF]."
"Howey, Hugh",Siirros,". (Shift, )  2014.","

<b>Siirros</b>. (Shift, 2013) Suom Einari Aaltonen. Like 2014. [SF]."
"Hoyle, (Sir) Fred(erick) & Hoyle, Geoffrey",Inferno,".. Esipuhe Jari Koponen.","
<b>Inferno</b>. (The Inferno, 1973). Suom Veikko Rekunen. Esipuhe Jari Koponen. Ursan sf-sarja 3. Ursa 1982. [SF]."
"Hunter, Erin","Salaisuuksien metsä",".  0.","

<b>Salaisuuksien metsä</b>. Soturikissat 3. (Warriors. Forest of Secrets, 2003). Suom Vesa-Matti Paija. Art House 20010. [nF]."
"Hurtta, Boris","Valdemarin kirja",Antikvariaattitarinoita.,"

<a href=""novkok/hur-vk.htm"">
<b>Valdemarin kirja</b></a>. Antikvariaattitarinoita. Portti-kirjat 9. Tampereen Science Fiction Seura 2010. [K,kok]."
"Hurtta, Boris","Vulcanuksen arvoitus",". Mielikuvitusromaani Ameriikan ja Avaruuden ihmemaailmoista.","

<b>Vulcanuksen arvoitus</b>. Mielikuvitusromaani Ameriikan ja Avaruuden ihmemaailmoista. Wanhain Herrain Huone 2010. [SF]."
"Hämäläinen, Raija & Oittinen, Hannu (toim.)","Tallinnasta pois",". Groteskia virolaista proosaa.","
<b>Tallinnasta pois</b>. Groteskia virolaista proosaa. Suom Raija Hämäläinen, 
Hannu Oittinen, Petteri Aarnos, Seija Kerttula, Iiris Heino, Joanna Ruokonen, 
Mika Keränen, Heli Laaksonen. Absurdia 2003. [F,K,kok 5/26]."
"MacDonald, Alexander","Helmenpyydystäjät","1-2.  -109.","
<b>Helmenpyydystäjät</b>, 1-2. (The Pearl Seekers, 1907). Suom Antti Rytkönen. 
Otavan 50 p:n kirjasto 108-109. Otava 1916. [F]."
"Mackworth, John (Dolden)","Maatorpedon salaisuus",".(Lyhennelty suomennos).","
<b>Maatorpedon salaisuus</b>.(The Menace of the Terribore: A Modern Adventure 
Story, 1936). (Lyhennelty suomennos). Seikkailujen maailma 11. Otava 1939. [nSF]."
"MacLean, Arthur","Uhka avaruudesta",".  , :5.","
<b>Uhka avaruudesta</b>. (Touch of Evil, 1959). Suom Meri Vuori. Sexton Blake, 1960:5. Kolmio-kirja 1960. [SF]."
"Madach, Imre (Emmerich)","Ihmisen murhenäytelmä","Näytelmä. . Näytelmä.","
<b>Ihmisen murhenäytelmä</b>. (Az ember tragédiája, 1861). Näytelmä. Suom Toivo Lyy. WSOY 1943. [F]."
"Mady, Elena","Ella Aura ja kolmastoista haltia",". WSOY","
<b>Ella Aura ja kolmastoista haltia</b>. Ella Aura 2. WSOY 2012. [nF]."
"Mady, Elena","Ella Auran tuomiopäiväkirja",". WSOY","

<b>Ella Auran tuomiopäiväkirja</b>. Ella Aura 1. WSOY 2011. [nF]."
"Mady, Elena","Tom ja Morbicuksen kosto",". WSOY","

<b>Tom ja Morbicuksen kosto</b>. Ella Aura 3. WSOY 2013. [nF]."
"Majakovski, Vladimir",Sauna,"Näytelmä. . Näytelmä.","
<b>Sauna</b>. (Banja, 1929). Näytelmä. Suom Esa Adrian. Helmi-sarja. Karisto 1967. [SF]."
"Malinen, Anna","Hämärikkö",". Kustannus Aarni,","
<b>Hämärikkö</b>. Kustannus Aarni, 2018. [F]."
"Malory, Sir Thomas","Pyöreän pöydän ritarit",". (lyhennetty).","
<b>Pyöreän pöydän ritarit</b>. (Le Morte D'Arthur, 1485). Suom Marja 
Helanen-Ahtola (lyhennetty). Satujen ja tarujen maailma -sarja. Karisto 1979. [F]."
"Manner, Eeva-Liisa (toim.)","Kauhujen kirja","10 maailmankirjallisuuden kauhukertomusta.","
<a href=""novkok/man-kk.htm"">
<b>Kauhujen kirja</b></a>. 10 maailmankirjallisuuden kauhukertomusta. Suom Esa Adrian, Kristiina Kivivuori, Juhani Konkka, Eeva-Liisa Manner, H. Nurminen & Aarno Peromies. Weilin & Göös 1964. [K,kok]."
"Manninen, Kerttu (toim.)","Cantervillen kummitus - Maailman parhaita tarinoita","Valikoima Nuorten novellisto -antologioista 1-3.","

<a href=""novkok/man-ck.htm"">
<b>Cantervillen kummitus - Maailman parhaita tarinoita</b></a>. Valikoima Nuorten novellisto -antologioista 1-3. WSOY 1991. [SF,K,kok 7/32]."
"Marryat, Frederik","Lentävä hollantilainen",".  Kirja","
<b>Lentävä hollantilainen</b>. (The Phantom Ship, 1839). Mukaillen suom Väinö Nyman. Kirja 1922. [F]."
"Martin, George R(aymond) R(ichard)","Jäälohikäärme",". Kuvittanut Luis Royo.","
<b>Jäälohikäärme</b>. (The Ice Dragon, 1980, 2006). Kuvittanut Luis Royo.
Suom Satu Hlinovsky. Kustannusosakeyhtiö Kirjava 2016. [F]."
"Martin, George R(aymond) R(ichard)","Lohikäärmetanssi 1",". , nide 1.","

<b>Lohikäärmetanssi 1</b>. Tulen ja jään laulu osa 5, nide 1. (A Dance With Dragons, 2011). 
Suom Satu Hlinovsky. Kustannusosakeyhtiö Kirjava 2014. [F]."
"Martin, George R(aymond) R(ichard)","Lohikäärmetanssi 2",". , nide 2.","

<b>Lohikäärmetanssi 2</b>. Tulen ja jään laulu osa 5, nide 2. (A Dance With Dragons, 2011). 
Suom Satu Hlinovsky. Kustannusosakeyhtiö Kirjava 2014. [F]."
"Martin, George R(aymond) R(ichard)","Miekkamyrsky 1",". , nide 1.","

<b>Miekkamyrsky 1</b>. Tulen ja jään laulu osa 3, nide 1. (A Storm of Swords 1: Steel and Snow, 2000). 
Suom Satu Hlinovsky. Kustannusosakeyhtiö Kirjava 2005. [F]."
